Key,English,Vietnamese
PROPQUEST_REQUESTBOX_INC_000123,Damian needs you to collect Blue Honey to make a new dessert. Will you help?,Damian cần bạn thu thập Blue Honey để làm món tráng miệng mới. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000128,Damian needs Blue Honey,Damian cần Blue Honey
PROPQUEST_REQUESTBOX_INC_000133,Blessed Doll,Búp bê ban phước
PROPQUEST_REQUESTBOX_INC_000134,House of Children needs you to collect Mia Dolls as presents for the children. Will you help?,House of Children cần bạn thu thập Mia Dolls làm quà cho trẻ em. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000139,House of Children wants Mia Dolls.,House of Children muốn Mia Dolls.
PROPQUEST_REQUESTBOX_INC_000144,Lost Documents,Tài liệu bị mất
PROPQUEST_REQUESTBOX_INC_000145,Julia needs you to collect office documents stolen by the Mias. Will you help?,Julia cần bạn thu thập các tài liệu văn phòng bị Mias đánh cắp. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000150,Julia wants the office documents that the mia stole.,Julia muốn các tài liệu văn phòng mà mia đã đánh cắp.
PROPQUEST_REQUESTBOX_INC_000155,Brightly Burning Flame,Ngọn lửa rực cháy
PROPQUEST_REQUESTBOX_INC_000156,Bozman needs you to collect furious matches to use at his blast furnace. Will you help?,Bozman cần bạn thu thập các trận đấu dữ dội để sử dụng tại lò luyện kim của anh ta. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000161,Bozman wants furious matches,Bozman muốn có những trận đấu dữ dội
PROPQUEST_REQUESTBOX_INC_000166,Unknown Situation (2),Tình huống không xác định (2)
PROPQUEST_REQUESTBOX_INC_000167,Flaris Pang needs you to collect unknown letters.,Flaris Pang cần bạn thu thập unknown letters.
PROPQUEST_REQUESTBOX_INC_000172,Flaris Pang needs unknown letters again.,Flaris Pang cần một lần nữa unknown letters.
PROPQUEST_REQUESTBOX_INC_000177,Delicious Sauce,Nước sốt ngon
PROPQUEST_REQUESTBOX_INC_000178,Kalin needs you to collect Cardrin to make delicious sauce.,Kalin cần bạn thu thập Cardrin để làm nước sốt ngon.
PROPQUEST_REQUESTBOX_INC_000183,Kalin wants Cardrin.,Kalin muốn Cardrin.
PROPQUEST_REQUESTBOX_INC_000188,Magic Orb,Magic Orb
PROPQUEST_REQUESTBOX_INC_000189,Martin needs Hammarble to make a Magic Orb. Will you help?,Martin cần Hammarble để tạo ra Magic Orb. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000194,Martin wants Hammarbles.,Martin muốn Hammarbles.
PROPQUEST_REQUESTBOX_INC_000199,Mark of Bill,Mark of Bill
PROPQUEST_REQUESTBOX_INC_000200,Bill needs you to collect Gigglande so that he can make his mark. Will you help?,Bill cần bạn thu thập Gigglande để anh ta có thể tạo ra dấu ấn của mình. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000205,Bill wants Gigglande.,Bill muốn Gigglande.
PROPQUEST_REQUESTBOX_INC_000210,Repair Work on Saint Hall,Công việc sửa chữa trên Saint Hall
PROPQUEST_REQUESTBOX_INC_000211,Helena needs you to collect Crescent Stones to repair Saint Hall. Will you help?,Helena cần bạn thu thập Crescent Stone để sửa chữa Saint Hall. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000216,Helena wants $QUEST_END_ITEM_NAME$.,Helena muốn $ QUEST_END_ITEM_NAME $.
PROPQUEST_REQUESTBOX_INC_000221,Helping injured animals,Giúp đỡ động vật bị thương
PROPQUEST_REQUESTBOX_INC_000222,Madrigal Animal Association needs you to collect Bobands to help their injured animals. Will you help?,Hiệp hội động vật Madrigal cần bạn thu thập Bobands để giúp đỡ những con vật bị thương của họ. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000227,Madrigal Animal Association wants Bobands.,Hiệp hội Động vật Madrigal muốn Bobands.
PROPQUEST_REQUESTBOX_INC_000232,Strange Collector,Strange Collector
PROPQUEST_REQUESTBOX_INC_000233,Strange Collector needs you to collect Dumblings for his collection. Will you help?,Strange Collector cần bạn thu thập Dumblings cho bộ sưu tập của mình. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000243,For the Wife,Dành cho vợ
PROPQUEST_REQUESTBOX_INC_000244,Mayer needs Kalin to make a present for his wife. Will you help?,Mayer cần Kalin để làm một món quà cho vợ mình. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000249,Mayer wants Kalin.,Mayer muốn Kalin.
PROPQUEST_REQUESTBOX_INC_000254,Weak Heart,Trái tim yếu đuối
PROPQUEST_REQUESTBOX_INC_000255,Helena needs clock hearts to make a new heart for her sick brother. Will you help?,Helena cần clock hearts để làm trái tim mới cho người anh trai bị bệnh của mình. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000265,Devil Marble,Devil Marble
PROPQUEST_REQUESTBOX_INC_000266,Bill needs Tomb Marbles to make the Devil Marble. Will you help?,Bill cần Tomb Marbles để tạo ra Devil Marble. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000271,Bill wants Tomb Marbles.,Bill muốn Tomb Marbles.
PROPQUEST_REQUESTBOX_INC_000276,Dream of the Fighter,Giấc mơ của Fighter
PROPQUEST_REQUESTBOX_INC_000277,Fighter needs you to collect Golden Fists to make a golden glove. Will you help?,Fighter cần bạn thu thập Golden Fists để làm một chiếc găng tay vàng. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000282,Fighter wants Golden Fists.,Fighter muốn Golden Fists.
PROPQUEST_REQUESTBOX_INC_000287,Marbles for the Son,Viên bi cho con trai
PROPQUEST_REQUESTBOX_INC_000288,Mayer needs orbin to make marbles for his son. Will you help?,Mayer cần orbin để làm viên bi cho con trai mình. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000293,Mayer wants orbin.,Mayer muốn orbin.
PROPQUEST_REQUESTBOX_INC_000298,Strange Collector (2),Strange Collector (2)
PROPQUEST_REQUESTBOX_INC_000299,Strange Collector needs you to collect $QUEST_END_ITEM_NAME$ for his collection. Will you help?,Strange Collector cần bạn thu thập $ QUEST_END_ITEM_NAME $ cho bộ sưu tập của mình. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000304,Strange Collector wants $QUEST_END_ITEM_NAME$.,Strange Collector muốn $ QUEST_END_ITEM_NAME $.
PROPQUEST_REQUESTBOX_INC_000309,Lens of Olien,Ống kính của Olien
PROPQUEST_REQUESTBOX_INC_000310,Olien needs you to collect steam tears to make a new lens. Will you help?,Olien cần bạn thu thập nước mắt để tạo ra một ống kính mới. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000315,Olien wants steam tears.,Olien muốn có nước mắt.
PROPQUEST_REQUESTBOX_INC_000320,Red Muffler,Red Muffler
PROPQUEST_REQUESTBOX_INC_000321,Soldier needs you to collect knightlers to make a new scarf. Will you help?,Người lính cần bạn thu thập knightlers để làm một chiếc khăn mới. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000326,Soldier wants knightler.,Người lính muốn knightler.
PROPQUEST_REQUESTBOX_INC_000331,Dwarpet Festival,Lễ hội Dwarpet
PROPQUEST_REQUESTBOX_INC_000332,The Dwarpet needs you to collect wheeshoes for their festival. Will you help?,Dwarpet cần bạn thu thập wheeshoes cho lễ hội của họ. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000337,The Dwarpet wants wheesoes.,Dwarpet muốn wheeshoes.
PROPQUEST_REQUESTBOX_INC_000342,Crane Repair,Sửa chữa cần trục
PROPQUEST_REQUESTBOX_INC_000343,The Erons Industrial Manager needs Droil to repair their crane. Will you help?,Giám đốc Công nghiệp Erons cần Droil để sửa chữa cần trục của họ. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000348,Erons want Droils.,Erons muốn Doils.
PROPQUEST_REQUESTBOX_INC_000353,Urgently looking for a Bandage,Đang khẩn cấp tìm kiếm Bandage
PROPQUEST_REQUESTBOX_INC_000364,Portable Power,Portable Power
PROPQUEST_REQUESTBOX_INC_000375,Strange Collector (3),Strange Collector (3)
PROPQUEST_REQUESTBOX_INC_000386,Replacement Tires,Lốp thay thế
PROPQUEST_REQUESTBOX_INC_000387,The Dwarpet needs you to collect Dumptires to replace his flat tires. Will you help?,Dwarpet cần bạn thu thập Dumptires để thay thế những chiếc lốp bị xẹp của mình. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000392,The Dwarpet wants Dumptire.,Dwarpet muốn Dumptire.
PROPQUEST_REQUESTBOX_INC_000397,Strange Collector (4),Strange Collector (4)
PROPQUEST_REQUESTBOX_INC_000398,Mysterious collector needs Garbageton for his collection. Will you help?,Nhà sưu tập bí ẩn cần Garbageton cho bộ sưu tập của mình. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000408,Relics of a Husband,Di vật của một người chồng
PROPQUEST_REQUESTBOX_INC_000409,A widow has asked that you collect Eronior so that she can re-make the ring of her husband. Will you help?,Một góa phụ đã yêu cầu bạn thu thập Eronior để cô ấy có thể làm lại chiếc nhẫn của chồng mình. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000414,A widow wants some Eronior.,Một góa phụ muốn một ít Ironor.
PROPQUEST_REQUESTBOX_INC_000419,Disguise of Remina,Cải trang của Remina
PROPQUEST_REQUESTBOX_INC_000420,Remina needs you to collect repygle to make a pair of disguising sunglasses. Will you help?,Remina cần bạn thu thập repygle để làm một cặp kính râm ngụy trang. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000425,Remina wants $QUEST_END_ITEM_NAME$.,Remina muốn $ QUEST_END_ITEM_NAME $.
PROPQUEST_REQUESTBOX_INC_000430,Beautiful Keil Wallpaper,Hình nền Keil đẹp
PROPQUEST_REQUESTBOX_INC_000431,Haven needs you to collect Sycale to re-model the Magic Shop. Will you help?,Haven cần bạn thu thập Sycale để sửa sang lại Magic Shop. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000436,Heaven wants Sycale.,Heaven muốn Sycale.
PROPQUEST_REQUESTBOX_INC_000441,Strange Collector (5),Strange Collector (5)
PROPQUEST_REQUESTBOX_INC_000442,Strange Collector needs $QUEST_END_ITEM_NAME$ for his collection. Will you help?,Strange Collector cần $ QUEST_END_ITEM_NAME $ cho bộ sưu tập của mình. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000447,Strange collector want Mong Tear,Strange collector muốn Mong Tear
PROPQUEST_REQUESTBOX_INC_000452,Anesthetic Needs,Anesthetic Needs
PROPQUEST_REQUESTBOX_INC_000463,New Kind of Firework,Pháo hoa kiểu mới
PROPQUEST_REQUESTBOX_INC_000464,The Fireworks Producer needs Bomb Timers to make a new kind of firework. Will you help?,Nhà sản xuất Pháo hoa cần Bomb Timers để tạo ra một loại pháo hoa mới. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000465,You get bombtimers from any type of Carrierbomb.,Bạn nhận được bom hẹn giờ từ bất kỳ loại Carrierbomb nào.
PROPQUEST_REQUESTBOX_INC_000469,The Firework Producer wants Bomb Timers.,Nhà sản xuất pháo hoa muốn có Bomb hẹn giờ.
PROPQUEST_REQUESTBOX_INC_000474,Snack for the Children,Đồ ăn nhẹ cho trẻ em
PROPQUEST_REQUESTBOX_INC_000475,Bolpor needs Prewing to make some snacks for the children. Will you help?,Bolpor cần Prewing để làm một số món ăn nhẹ cho trẻ em. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000480,Bolpor wants Prewing.,Bolpor muốn Prewing.
PROPQUEST_REQUESTBOX_INC_000485,Mushroom Farm of Chitller,Trang trại nấm của Chitller
PROPQUEST_REQUESTBOX_INC_000486,Chitller needs you to collect Poiespore for his mushroom farm will you help?,"Chitller cần bạn thu thập Poiespore cho trang trại nấm của mình, bạn sẽ giúp?"
PROPQUEST_REQUESTBOX_INC_000491,Chitller wants Poiespore.,Chitller muốn Poiespore.
PROPQUEST_REQUESTBOX_INC_000496,New Yo-Yo,Yo-Yo mới
PROPQUEST_REQUESTBOX_INC_000497,An Acrobat master needs you to gather Renyken to make a new Yo-Yo. Will you help?,Một Acrobat master cần bạn tập hợp Renyken để tạo ra một Yo-Yo mới. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000502,An Acrobat master wants Renyken.,An Acrobat master muốn Renyken.
PROPQUEST_REQUESTBOX_INC_000507,Disguise of a Native,Cải trang người bản xứ
PROPQUEST_REQUESTBOX_INC_000508,Darkon natives need you to collect Tangkask. Will you help?,Người bản xứ Darkon cần bạn thu thập Tangkask. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000513,Darkon natives want Tankask.,Darkon natives muốn Tankask.
PROPQUEST_REQUESTBOX_INC_000518,Woodworking Material,Vật liệu chế biến gỗ
PROPQUEST_REQUESTBOX_INC_000529,The Best Shield,Khiên chắn tốt nhất
PROPQUEST_REQUESTBOX_INC_000530,Remina needs Luchest to make the strongest shield in the world. Will you help?,Remina cần Luchest để làm khiên chắn mạnh nhất trên thế giới. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000540,Beauty Contest Award,Giải thưởng cuộc thi Người đẹp
PROPQUEST_REQUESTBOX_INC_000541,The Madrigal Beauty Contest needs Eronsimint for making an award. Will you help?,Cuộc thi Người đẹp Madrigal cần Ironsimint để trao giải. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000546,The Madrigal Beauty Contest sponsor wants Eronsimint.,Nhà tài trợ Cuộc thi Sắc đẹp Madrigal muốn Ironsimint.
PROPQUEST_REQUESTBOX_INC_000551,Lucky Tool,Công cụ may mắn
PROPQUEST_REQUESTBOX_INC_000552,Lucky needs Hammamer to make a lucky hammer. Will you help?,Lucky cần Hammamer để tạo ra một chiếc búa may mắn. Bạn sẽ giúp chứ?
PROPQUEST_REQUESTBOX_INC_000557,Lucky wants Hammamer.,Lucky muốn Hammamer.
PROPQUEST_REQUESTBOX_INC_000562,Strange Collector (6),Strange Collector (6)
PROPQUEST_REQUESTBOX_INC_000573,Request of Lurif,Yêu cầu của Lurif
PROPQUEST_REQUESTBOX_INC_000574,Could you do me a favor? I need Phanbubble. Can you help me please?,Bạn có thể làm cho tôi một việc? Tôi cần Phanbubble. Bạn co thể giúp tôi được không?
PROPQUEST_REQUESTBOX_INC_000579,Lurif needs many Phanbubbles.,Lurif cần nhiều Phanbubbles.
PROPQUEST_REQUESTBOX_INC_000815,Mysterious Magic Material,Vật liệu ma thuật bí ẩn
PROPQUEST_REQUESTBOX_INC_000816,Magician Master requested you to collect Merahook which is a magic material. Will you accept this request?,"Magician Master đã yêu cầu bạn thu thập Merahook, một nguyên liệu ma thuật. Bạn sẽ chấp nhận yêu cầu này chứ?"
PROPQUEST_REQUESTBOX_INC_000817,You can collect them from the group of Chimeradon in the Deadwallderness.,Bạn có thể thu thập chúng từ nhóm Chimeradon ở Deadwal Wildness.
PROPQUEST_REQUESTBOX_INC_000826,Avenge Nerky,Avenge Nerky
PROPQUEST_REQUESTBOX_INC_000827,Krinton's pet Bearnerky got killed by the other Bearnerky. Krinton requested you to collect NerkyMane for revenge. Will you accept this request?,"Bearnerky, vật nuôi của Krinton đã bị giết bởi Bearnerky khác. Krinton yêu cầu bạn thu thập NerkyMane để trả thù. Bạn sẽ chấp nhận yêu cầu này chứ?"
PROPQUEST_REQUESTBOX_INC_000828,You can collect them from the group of Bearnerky in the Deadwallderness.,Bạn có thể thu thập chúng từ nhóm của Bearnerky ở Deadwallderness.
PROPQUEST_REQUESTBOX_INC_000837,Bolpor's favor,Ưu ái của Bolpor
PROPQUEST_REQUESTBOX_INC_000838,Bolpor requested you to collect Rincruet for making some special food. Will you accept this request?,Bolpor yêu cầu bạn thu thập Rincruet để làm một số thức ăn đặc biệt. Bạn sẽ chấp nhận yêu cầu này chứ?
PROPQUEST_REQUESTBOX_INC_000839,You can collect them from the group of Muffrin in the Deadwallderness.,Bạn có thể thu thập chúng từ nhóm Muffrin ở Deadwallderness.
PROPQUEST_REQUESTBOX_INC_000848,Toy Materials,Vật liệu đồ chơi
PROPQUEST_REQUESTBOX_INC_000849,A toy merchant requested you to collect Popshift for making fancy toys. Will you accept this request?,Một thương gia đồ chơi đã yêu cầu bạn thu thập Popshift để làm đồ chơi lạ mắt. Bạn sẽ chấp nhận yêu cầu này chứ?
PROPQUEST_REQUESTBOX_INC_000850,You can collect them from the group of Popcrank in the Deadwallderness.,Bạn có thể thu thập chúng từ nhóm Popcrank ở Deadwallderness.
PROPQUEST_REQUESTBOX_INC_000859,Evil Eyed Red Dragon,Evil Eyed Red Dragon
PROPQUEST_REQUESTBOX_INC_000860,Can you please go find Dragon Tooth of the Meteonyker Dragon for me? The Arena Manager Lay requested 5 of them.,"Bạn có thể vui lòng đi tìm Răng của Dragon of the Meteonyker Dragon cho tôi được không? Người quản lý Arena, Lay đã yêu cầu 5 răng."
PROPQUEST_REQUESTBOX_INC_000861,"You can collect them from Meteonyker. I heard it's in Dekane Dungeon. Be careful, the Meteonyker is very strong! It's  best if you go with a party!","Bạn có thể thu thập chúng từ Meteonyker. Tôi nghe nói nó ở Dekane Dungeon. Hãy cẩn thận, Meteonyker rất mạnh! Thật tuyệt nếu bạn đi cùng một bữa tiệc!"
PROPQUEST_REQUESTBOX_INC_010000,Moth Infestation,Sự phá hoại của loài bướm đêm
PROPQUEST_REQUESTBOX_INC_010001,Tina asked for help with reducing the Mothbee population as they're causing problems with transport. Could you kill 15 of them?,Tina đã yêu cầu giúp đỡ để giảm dân số Mothbee vì chúng đang gây ra các vấn đề về giao thông. Bạn có thể giết 15 Mothbee không?
PROPQUEST_REQUESTBOX_INC_010002,You can find Mothbee flying inbetween Northern Saint City & Flaris.,Bạn có thể tìm thấy Mothbee bay giữa Thành phố Bắc Saint và Flaris.
PROPQUEST_REQUESTBOX_INC_010003,You don't want to help? That's okay. We'll find somebody else.,Bạn không muốn giúp đỡ? Không sao đâu. Chúng tôi sẽ tìm người khác.
PROPQUEST_REQUESTBOX_INC_010004,You haven't finished the task yet.,Bạn vẫn chưa hoàn thành nhiệm vụ.
PROPQUEST_REQUESTBOX_INC_010005,Mutated Aibatts,Aibatts đột biến
PROPQUEST_REQUESTBOX_INC_010006,Tina has reported a new kind of Masquerpet called Zendros. Please could you kill 15 of them?,"Tina đã báo cáo một loại Masquerpet mới được gọi là Zendros. Làm ơn, bạn có thể giết 15 Zendros?"
PROPQUEST_REQUESTBOX_INC_010007,You can find Zendros flying between Flaris and Saint morning continents.,Bạn có thể tìm thấy Zendros bay giữa lục địa Flaris và Saint morning.
PROPQUEST_REQUESTBOX_INC_010008,Dragonflies,Chuồn chuồn
PROPQUEST_REQUESTBOX_INC_010009,Tina asked for help with reducing the Neparuba population as they're causing problems with transport. Could you kill 15 of them?,Tina đã yêu cầu giúp đỡ để giảm số lượng Neparuba vì chúng đang gây ra các vấn đề về giao thông. Bạn có thể giết 15 Neparuba không?
PROPQUEST_REQUESTBOX_INC_010010,You can find Neparuba flying between Flaris and Saint morning continents.,Bạn có thể tìm thấy Neparuba bay giữa lục địa Flaris và Saint morning.
PROPQUEST_REQUESTBOX_INC_010011,Flybrigen Brigade,Lữ đoàn Flybrigen
PROPQUEST_REQUESTBOX_INC_010012,Tina asked for help with reducing the Flybrigen population as they're causing problems with transport. Could you kill 15 of them?,Tina đã yêu cầu giúp đỡ để giảm số lượng Flybrigen vì chúng đang gây ra các vấn đề về giao thông. Bạn có thể giết 15 trong số chúng không?
