Key,English,Portuguese
PROPQUEST_REQUESTBOX_INC_000582,$QUEST_END_NPC_NAME$ is very grateful to you for completing this quest.,$QUEST_END_NPC_NAME$ está muito grato por você ter concluído esta quest.
PROPQUEST_REQUESTBOX_INC_000001,Party of Is,A Festa de Is
PROPQUEST_REQUESTBOX_INC_000002,Is needs you to gather Chupim for her party. Will you help?,Is precisa que você junte Chupim para a festa dela. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000007,Is asking you to collect Chupim for her party.,Is está solicitando que você colete chupim para a festa dela.
PROPQUEST_REQUESTBOX_INC_000012,Unknown Situation (1),Situação Desconhecida (1/2)
PROPQUEST_REQUESTBOX_INC_000013,Flaris Pang needs you collect unknown letters. Will you help?,O Pang Flarinho precisa que você colete cartas desconhecidas. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000018,Flaris Pang wants you to collect $QUEST_END_ITEM_NAME$.,O Flarinho quer que você colete $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000024,Flaris Pang needs you to collect Unknown Certificates. Will you help?,O Pang Flarinho precisa que você colete Diplomas Desconhecidos. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000034,Flying Board,Prancha de Voo
PROPQUEST_REQUESTBOX_INC_000035,Dior needs you to collect Peakyrinds. Will you help?,Diol precisa que você colete Peakyrinds. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000040,Dior wants you to collect Peakyrinds.,Diol quer que você colete Peakyrinds.
PROPQUEST_REQUESTBOX_INC_000045,Fresh Start for Mop,Novo Início para os Ursinhos de Pelúcia
PROPQUEST_REQUESTBOX_INC_000046,House of Children needs you to collect Mop for their children. Will you help?,A Casa das Crianças precisa que você colete Ursinhos de Pelúcia para as crianças de lá. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000051,House of Children wants you to collect 3 Mop.,A Casa das Crianças quer que você colete 3 Ursinhos de Pelúcia.
PROPQUEST_REQUESTBOX_INC_000056,Gems for Wands,Pedras Preciosas para os Cetros
PROPQUEST_REQUESTBOX_INC_000057,Madrigal Magician Union wants you to collect Poporam for their wands. Will you help?,A União dos Magos de Madrigal quer que você colete Poporams para os cetros deles. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000062,Madrigal Magician Union wants you to collect 4 Poporam.,A União dos Magos de Madrigal quer que você colete 4 Poporams.
PROPQUEST_REQUESTBOX_INC_000067,"Cookie Machine, Valin Baget","Máquina de Biscoitos, Valin Baget"
PROPQUEST_REQUESTBOX_INC_000068,Valin needs you to collect Slain to fuel his Cookie Machine. Will you help?,Valin precisa que você colete caninos para abastecer sua Máquina de Biscoitos. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000073,Valin needs you to collect Slain for his cookie machine.,Valin precisa que você colete caninos para a sua Máquina de Biscoitos.
PROPQUEST_REQUESTBOX_INC_000078,Magic Quill,Pena Mágica
PROPQUEST_REQUESTBOX_INC_000079,Mule wants you to collect Tarin roots so he can make a new magic quill. Will you help?,Mule quer que você colete Raízes de Tarin para que ele possa fazer uma nova pena mágica. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000084,Mule needs you to collect Tarin roots.,Mule precisa que você colete Raízes de Tarin.
PROPQUEST_REQUESTBOX_INC_000089,Lyangglatang,Lyangglatang
PROPQUEST_REQUESTBOX_INC_000090,Rooney wants you to collect Nyanyangs for her party. Will you help?,A Rooney quer que você colete Nyanyangs para a festa dela. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000095,Rooney needs you to collect Nyanyangs.,Rooney precisa que você colete Nyanyangs.
PROPQUEST_REQUESTBOX_INC_000100,10 Year anniversary gift,Presente de 10º aniversário
PROPQUEST_REQUESTBOX_INC_000101,Marche wants you to collect Starstones to make a 10 year anniversary gift. Will you help?,Marche quer que você colete Pedras-Estrelas para fazer um presente de 10º aniversário. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000106,Marche needs Starstones,Marche precisa de Pedras-Estrelas
PROPQUEST_REQUESTBOX_INC_000111,Liquor for Dunkan,Bebida para Dunkan
PROPQUEST_REQUESTBOX_INC_000112,Dunkan needs you to collect Golden Wings to make a new liquor. Will you help?,Dunkan precisa que você colete Asas Douradas para ele preparar uma nova bebida. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000117,Dunkan wants Golden Wings.,Dunkan quer Asas Douradas.
PROPQUEST_REQUESTBOX_INC_000122,Sweet Dessert,Sobremesa Doce
PROPQUEST_REQUESTBOX_INC_000123,Damian needs you to collect Blue Honey to make a new dessert. Will you help?,Damian precisa que você colete Mel Azul para preparar uma nova sobremesa. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000128,Damian needs Blue Honey,Damian precisa de Mel Azul
PROPQUEST_REQUESTBOX_INC_000133,Blessed Doll,Boneca Abençoada
PROPQUEST_REQUESTBOX_INC_000134,House of Children needs you to collect Mia Dolls as presents for the children. Will you help?,A Casa das Crianças precisa que você colete Bonecas Mia para as crianças. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000139,House of Children wants Mia Dolls.,A Casa das Crianças quer Bonecas Mia.
PROPQUEST_REQUESTBOX_INC_000144,Lost Documents,Documentos Perdidos
PROPQUEST_REQUESTBOX_INC_000145,Julia needs you to collect office documents stolen by the Mias. Will you help?,Julia precisa que você colete os documentos de escritório roubados pelas Mias. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000150,Julia wants the office documents that the mia stole.,Julia quer os documentos de escritório roubados pela Mia.
PROPQUEST_REQUESTBOX_INC_000155,Brightly Burning Flame,Chama Brilhante
PROPQUEST_REQUESTBOX_INC_000156,Bozman needs you to collect furious matches to use at his blast furnace. Will you help?,Bozman precisa que você colete Fósforos Furiosos para uso em seu alto forno. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000161,Bozman wants furious matches,Bozman quer Fósforos Furiosos
PROPQUEST_REQUESTBOX_INC_000166,Unknown Situation (2),Situação Desconhecida (2/2)
PROPQUEST_REQUESTBOX_INC_000167,Flaris Pang needs you to collect unknown letters.,O Pang Flarinho precisa que você colete cartas desconhecidas.
PROPQUEST_REQUESTBOX_INC_000172,Flaris Pang needs unknown letters again.,O Pang Flarinho precisa novamente de cartas desconhecidas.
PROPQUEST_REQUESTBOX_INC_000177,Delicious Sauce,Molho Delicioso
PROPQUEST_REQUESTBOX_INC_000178,Kalin needs you to collect Cardrin to make delicious sauce.,Kalin precisa que você colete Cardrin para preparar o molho delicioso.
PROPQUEST_REQUESTBOX_INC_000183,Kalin wants Cardrin.,Kalin quer Cardrin.
PROPQUEST_REQUESTBOX_INC_000188,Magic Orb,Globo Mágico
PROPQUEST_REQUESTBOX_INC_000189,Martin needs Hammarble to make a Magic Orb. Will you help?,Martin precisa de Hammarble para fazer um Globo Mágico. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000194,Martin wants Hammarbles.,Martin quer Hammarbles.
PROPQUEST_REQUESTBOX_INC_000199,Mark of Bill,Marca do Bill
PROPQUEST_REQUESTBOX_INC_000200,Bill needs you to collect Gigglande so that he can make his mark. Will you help?,Bill precisa que você colete Gigglande para que ele possa fazer uma marca. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000205,Bill wants Gigglande.,Bill quer Gigglande.
PROPQUEST_REQUESTBOX_INC_000210,Repair Work on Saint Hall,Trabalho de Reparo no Palácio de Saint
PROPQUEST_REQUESTBOX_INC_000211,Helena needs you to collect Crescent Stones to repair Saint Hall. Will you help?,Helena precisa que você colete as Pedras de Crescente para reparar o Palácio de Saint. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000216,Helena wants $QUEST_END_ITEM_NAME$.,Helena quer $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000221,Helping injured animals,Ajudando animais feridos
PROPQUEST_REQUESTBOX_INC_000222,Madrigal Animal Association needs you to collect Bobands to help their injured animals. Will you help?,A Associação de Animais de Madrigal precisa que você colete Bobands para ajudar seus animais feridos. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000227,Madrigal Animal Association wants Bobands.,A Associação de Animais de Madrigal quer Bobands.
PROPQUEST_REQUESTBOX_INC_000232,Strange Collector,O Colecionador Estranho (1 de 6)
PROPQUEST_REQUESTBOX_INC_000233,Strange Collector needs you to collect Dumblings for his collection. Will you help?,O Colecionador Estranho precisa que você colete Dumblings para a sua coleção. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000243,For the Wife,Para a Esposa
PROPQUEST_REQUESTBOX_INC_000244,Mayer needs Kalin to make a present for his wife. Will you help?,Mayer quer Kalin para presentear sua esposa. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000249,Mayer wants Kalin.,Mayer quer Kalin.
PROPQUEST_REQUESTBOX_INC_000254,Weak Heart,Coração Fraco
PROPQUEST_REQUESTBOX_INC_000255,Helena needs clock hearts to make a new heart for her sick brother. Will you help?,Helena precisa de Corações-Relógio para fazer um novo coração para o seu irmão doente. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000265,Devil Marble,Mármore do Diabo
PROPQUEST_REQUESTBOX_INC_000266,Bill needs Tomb Marbles to make the Devil Marble. Will you help?,Bill precisa de Mármores de Tumba para fazer o Mármore do Diabo. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000271,Bill wants Tomb Marbles.,Bill quer Mármores de Tumba.
PROPQUEST_REQUESTBOX_INC_000276,Dream of the Fighter,Sonho do Lutador
PROPQUEST_REQUESTBOX_INC_000277,Fighter needs you to collect Golden Fists to make a golden glove. Will you help?,O Lutador precisa que você colete Punhos Dourados para fazer uma luva dourada. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000282,Fighter wants Golden Fists.,O Lutador quer Punhos Dourados.
PROPQUEST_REQUESTBOX_INC_000287,Marbles for the Son,Mármores para o Filho
PROPQUEST_REQUESTBOX_INC_000288,Mayer needs orbin to make marbles for his son. Will you help?,Mayer precisa de orbrin para fazer mármores para seu filho. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000293,Mayer wants orbin.,Mayer quer orbrin.
PROPQUEST_REQUESTBOX_INC_000298,Strange Collector (2),O Colecionador Estranho (2 de 6)
PROPQUEST_REQUESTBOX_INC_000299,Strange Collector needs you to collect $QUEST_END_ITEM_NAME$ for his collection. Will you help?,O Colecionador Estranho precisa que você colete $QUEST_END_ITEM_NAME$ para a sua coleção. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000304,Strange Collector wants $QUEST_END_ITEM_NAME$.,O Colecionador Estranho precisa de $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000309,Lens of Olien,Lente de Olien
PROPQUEST_REQUESTBOX_INC_000310,Olien needs you to collect steam tears to make a new lens. Will you help?,Olien precisa que você colete lágrimas de vapor para preparar uma nova lente. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000315,Olien wants steam tears.,Olien quer lágrimas de vapor.
PROPQUEST_REQUESTBOX_INC_000320,Red Muffler,Lenço Vermelho
PROPQUEST_REQUESTBOX_INC_000321,Soldier needs you to collect knightlers to make a new scarf. Will you help?,O Soldado precisa que você colete knightlers para fazer um novo cachecol. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000326,Soldier wants knightler.,O Soldado quer knightler.
PROPQUEST_REQUESTBOX_INC_000331,Dwarpet Festival,Festival do Dwarpet
PROPQUEST_REQUESTBOX_INC_000332,The Dwarpet needs you to collect wheeshoes for their festival. Will you help?,O Dwarpet precisa que você colete wheeshoes para o seu festival. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000337,The Dwarpet wants wheesoes.,O Dwarpet quer wheeshoes.
PROPQUEST_REQUESTBOX_INC_000342,Crane Repair,Reparo do Guindaste
PROPQUEST_REQUESTBOX_INC_000343,The Erons Industrial Manager needs Droil to repair their crane. Will you help?,O Gerente Industrial da Erons precisa de Droil para reparar seu guindaste. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000348,Erons want Droils.,Os Erons querem Droils.
PROPQUEST_REQUESTBOX_INC_000353,Urgently looking for a Bandage,Procurando Urgentemente por Bandagem
PROPQUEST_REQUESTBOX_INC_000364,Portable Power,Energia Portátil
PROPQUEST_REQUESTBOX_INC_000375,Strange Collector (3),O Colecionador Estranho (3 de 6)
PROPQUEST_REQUESTBOX_INC_000386,Replacement Tires,Pneus Sobressalentes
PROPQUEST_REQUESTBOX_INC_000387,The Dwarpet needs you to collect Dumptires to replace his flat tires. Will you help?,O Dwarpet precisa que você colete Pneus Sobressalentes para substituir seus pneus furados. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000392,The Dwarpet wants Dumptire.,O Dwarpet quer Pneu Sobressalente.
PROPQUEST_REQUESTBOX_INC_000397,Strange Collector (4),O Colecionador Estranho (4 de 6)
PROPQUEST_REQUESTBOX_INC_000398,Mysterious collector needs Garbageton for his collection. Will you help?,O Colecionador misterioso precisa de Garbageton para a sua coleção. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000408,Relics of a Husband,Relíquias de um Marido
PROPQUEST_REQUESTBOX_INC_000409,A widow has asked that you collect Eronior so that she can re-make the ring of her husband. Will you help?,Uma viúva pediu que você colete Eronior para que ela possa refazer o anel de seu marido. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000414,A widow wants some Eronior.,Uma viúva quer um pouco de Eronior.
PROPQUEST_REQUESTBOX_INC_000419,Disguise of Remina,Disfarce de Remina
PROPQUEST_REQUESTBOX_INC_000420,Remina needs you to collect repygle to make a pair of disguising sunglasses. Will you help?,Remina precisa que você colete repygle para fazer um óculos de sol de disfarce. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000425,Remina wants $QUEST_END_ITEM_NAME$.,Remina quer $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000430,Beautiful Keil Wallpaper,Bonito Papel de Parede de Keil
PROPQUEST_REQUESTBOX_INC_000431,Haven needs you to collect Sycale to re-model the Magic Shop. Will you help?,Haven precisa que você colete Sycale para remodelar a Loja Mágica. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000436,Heaven wants Sycale.,Heaven quer Sycale.
PROPQUEST_REQUESTBOX_INC_000441,Strange Collector (5),O Colecionador Estranho (5 de 6)
PROPQUEST_REQUESTBOX_INC_000442,Strange Collector needs $QUEST_END_ITEM_NAME$ for his collection. Will you help?,O Colecionador Estranho precisa de $QUEST_END_ITEM_NAME$ para a sua coleção. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000447,Strange collector want Mong Tear,Colecionador de Raridades quer Lágrima de Mong
PROPQUEST_REQUESTBOX_INC_000452,Anesthetic Needs,Necessidades Anestésicas
PROPQUEST_REQUESTBOX_INC_000463,New Kind of Firework,Novo Tipo de Fogo de Artifício
PROPQUEST_REQUESTBOX_INC_000464,The Fireworks Producer needs Bomb Timers to make a new kind of firework. Will you help?,O Produtor de Fogos de Artifício precisa de Detonadores de Bomba para um novo tipo de fogo de artifício. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000465,You get bombtimers from any type of Carrierbomb.,Você obtém detonadores de bomba de qualquer tipo de Carrierbomb.
PROPQUEST_REQUESTBOX_INC_000469,The Firework Producer wants Bomb Timers.,O Produtor de Fogos de Artifício quer Detonadores de Bomba.
PROPQUEST_REQUESTBOX_INC_000474,Snack for the Children,Lanche para as Crianças
PROPQUEST_REQUESTBOX_INC_000475,Bolpor needs Prewing to make some snacks for the children. Will you help?,Bolpor precisa de Prewing para fazer alguns lanches para as crianças. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000480,Bolpor wants Prewing.,Bolpor quer Prewing.
PROPQUEST_REQUESTBOX_INC_000485,Mushroom Farm of Chitller,Fazenda de Cogumelos de Chitller
PROPQUEST_REQUESTBOX_INC_000486,Chitller needs you to collect Poiespore for his mushroom farm will you help?,"Chitller precisa que você colete Esporos Venenosos para a sua fazenda de cogumelos, você poderia ajudar?"
PROPQUEST_REQUESTBOX_INC_000491,Chitller wants Poiespore.,Chitller quer Esporos Venenosos.
PROPQUEST_REQUESTBOX_INC_000496,New Yo-Yo,Novo Ioiô
PROPQUEST_REQUESTBOX_INC_000497,An Acrobat master needs you to gather Renyken to make a new Yo-Yo. Will you help?,Um mestre Acrobata precisa que você colete Renyken para fazer um novo Ioiô. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000502,An Acrobat master wants Renyken.,Um mestre Acrobata quer Renyken.
PROPQUEST_REQUESTBOX_INC_000507,Disguise of a Native,Disfarce de um Nativo
PROPQUEST_REQUESTBOX_INC_000508,Darkon natives need you to collect Tangkask. Will you help?,Os nativos de Darkon precisam que você colete Tangkask. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000513,Darkon natives want Tankask.,Os nativos de Darkon querem Tangkask
PROPQUEST_REQUESTBOX_INC_000518,Woodworking Material,Material de Trabalho em Madeira
PROPQUEST_REQUESTBOX_INC_000529,The Best Shield,O Melhor Escudo
PROPQUEST_REQUESTBOX_INC_000530,Remina needs Luchest to make the strongest shield in the world. Will you help?,Remina precisa de Luchest para fazer o escudo mais forte do mundo. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000540,Beauty Contest Award,Prêmio do Concurso de Beleza
PROPQUEST_REQUESTBOX_INC_000541,The Madrigal Beauty Contest needs Eronsimint for making an award. Will you help?,O Concurso de Beleza de Madrigal precisa de Eronsimint para fazer um prêmio. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000546,The Madrigal Beauty Contest sponsor wants Eronsimint.,O patrocinador do Concurso de Beleza de madrigal quer Eronsimint.
PROPQUEST_REQUESTBOX_INC_000551,Lucky Tool,Ferramenta do Lucky
PROPQUEST_REQUESTBOX_INC_000552,Lucky needs Hammamer to make a lucky hammer. Will you help?,Lucky precisa de Hammamer para fazer um martelo da sorte. Você poderia ajudar?
PROPQUEST_REQUESTBOX_INC_000557,Lucky wants Hammamer.,Lucky quer Hammamer.
PROPQUEST_REQUESTBOX_INC_000562,Strange Collector (6),O Colecionador Estranho (6 de 6)
PROPQUEST_REQUESTBOX_INC_000573,Request of Lurif,Solicitação de Lurif
PROPQUEST_REQUESTBOX_INC_000574,Could you do me a favor? I need Phanbubble. Can you help me please?,Você poderia me fazer um favor? Eu preciso de Bolhas Fantasma. Você pode me ajudar por favor?
PROPQUEST_REQUESTBOX_INC_000579,Lurif needs many Phanbubbles.,Lurif precisa de mais Bolhas Fantasmas.
PROPQUEST_REQUESTBOX_INC_000815,Mysterious Magic Material,Material Mágico Misterioso
PROPQUEST_REQUESTBOX_INC_000816,Magician Master requested you to collect Merahook which is a magic material. Will you accept this request?,A Mestra Maga pediu para você coletar um material mágico chamado Merahook. Você irá ajudá-la?
PROPQUEST_REQUESTBOX_INC_000817,You can collect them from the group of Chimeradon in the Deadwallderness.,Você pode coletá-los matando grupos de Quimeradons no Deserto da Morte.
PROPQUEST_REQUESTBOX_INC_000826,Avenge Nerky,Acertando Contas
PROPQUEST_REQUESTBOX_INC_000827,Krinton's pet Bearnerky got killed by the other Bearnerky. Krinton requested you to collect NerkyMane for revenge. Will you accept this request?,O Bearnerky de estimação do Krinton foi morto por outro Bearnerky. Krinton pediu que você coletasse NerkyMane por vingança. Você vai aceitar este pedido?
PROPQUEST_REQUESTBOX_INC_000828,You can collect them from the group of Bearnerky in the Deadwallderness.,Você pode coletá-los matando grupos de Bearnerky no Deserto da Morte.
PROPQUEST_REQUESTBOX_INC_000837,Bolpor's favor,Um Favor para Bolpor
PROPQUEST_REQUESTBOX_INC_000838,Bolpor requested you to collect Rincruet for making some special food. Will you accept this request?,Bolpor pediu que você coletasse Rincruet para fazer uma comida especial. Você vai aceitar este pedido?
PROPQUEST_REQUESTBOX_INC_000839,You can collect them from the group of Muffrin in the Deadwallderness.,Você pode coletá-los matando grupos de Muffrins no Deserto da Morte.
PROPQUEST_REQUESTBOX_INC_000848,Toy Materials,Materiais para Brinquedos
PROPQUEST_REQUESTBOX_INC_000849,A toy merchant requested you to collect Popshift for making fancy toys. Will you accept this request?,Um Mercador de Brinquedos pediu que você colecionasse Popshift para fazer brinquedos de cera. Você vai aceitar este pedido?
PROPQUEST_REQUESTBOX_INC_000850,You can collect them from the group of Popcrank in the Deadwallderness.,Você pode coletá-los matando grupos de Popcrank no Deserto da Morte.
PROPQUEST_REQUESTBOX_INC_000859,Evil Eyed Red Dragon,O Dragão Vermelho de Olhos Malignos
PROPQUEST_REQUESTBOX_INC_000860,Can you please go find Dragon Tooth of the Meteonyker Dragon for me? The Arena Manager Lay requested 5 of them.,"Você pode, por favor, encontrar Dentes do Dragão Meteonyker para mim? O Supervisor da Arena, Lay, solicitou 5 deles."
PROPQUEST_REQUESTBOX_INC_000861,"You can collect them from Meteonyker. I heard it's in Dekane Dungeon. Be careful, the Meteonyker is very strong! It's  best if you go with a party!",Você pode coletá-los de Meteonyker. Ouvi dizer que ele está na Mina Dekane. Tome cuidado! O Meteonyker é muito forte! É melhor você formar um grupo para ir!
PROPQUEST_REQUESTBOX_INC_010000,Moth Infestation,O mosquitinho faz pic!
PROPQUEST_REQUESTBOX_INC_010001,Tina asked for help with reducing the Mothbee population as they're causing problems with transport. Could you kill 15 of them?,"Tina pediu ajuda para reduzir a população de Maribelhas, pois elas estão causando problemas com o transporte aéreo. Você poderia matar 15 delas?"
PROPQUEST_REQUESTBOX_INC_010002,You can find Mothbee flying inbetween Northern Saint City & Flaris.,Você pode encontrar Maribelhas voando entre o Norte da Cidade de Saint e Flaris.
PROPQUEST_REQUESTBOX_INC_010003,You don't want to help? That's okay. We'll find somebody else.,Você não quer ajudar? Tudo bem. Encontraremos outra pessoa.
PROPQUEST_REQUESTBOX_INC_010004,You haven't finished the task yet.,Você ainda não terminou a tarefa.
PROPQUEST_REQUESTBOX_INC_010005,Mutated Aibatts,Em Busca do Aibatt Inexplicável
PROPQUEST_REQUESTBOX_INC_010006,Tina has reported a new kind of Masquerpet called Zendros. Please could you kill 15 of them?,"Tina relatou um novo tipo de Masquerpet chamado Zendros. Por favor, você poderia matar 15 deles?"
PROPQUEST_REQUESTBOX_INC_010007,You can find Zendros flying between Flaris and Saint morning continents.,Você pode encontrar Zendros voando entre os continentes Flaris e Saint Morning.
PROPQUEST_REQUESTBOX_INC_010008,Dragonflies,Libélulas
PROPQUEST_REQUESTBOX_INC_010009,Tina asked for help with reducing the Neparuba population as they're causing problems with transport. Could you kill 15 of them?,"Tina pediu ajuda para reduzir a população de Neparubas, pois estão causando problemas de transporte aéreo. Você poderia matar 15 deles?"
PROPQUEST_REQUESTBOX_INC_010010,You can find Neparuba flying between Flaris and Saint morning continents.,Você pode encontrar Neparubas voando entre os continentes Flaris e Saint Morning.
PROPQUEST_REQUESTBOX_INC_010011,Flybrigen Brigade,Brigada Flybrigen
PROPQUEST_REQUESTBOX_INC_010012,Tina asked for help with reducing the Flybrigen population as they're causing problems with transport. Could you kill 15 of them?,"Tina pediu ajuda para reduzir a população de Flybrigens, pois estão causando problemas de transporte aéreo. Você poderia matar 15 deles?"
PROPQUEST_REQUESTBOX_INC_010013,You can find Flybrigen flying between Saint Morning and Garden of Rhisis continents.,Você pode encontrar Flybrigens voando entre os continentes Saint Morning e Jardim de Rhisis.
PROPQUEST_REQUESTBOX_INC_010014,Moth Infestation (2),O mosquitinho faz pic! (2)
PROPQUEST_REQUESTBOX_INC_010015,Tina is asking for further help regarding the Mothbee infestation. Could you get rid of the Lord Mothbee?,Tina is asking for further help regarding the Mothbee infestation. Could you get rid of the Lord Mothbee?
PROPQUEST_REQUESTBOX_INC_010016,You can find the Lord Mothbee flying inbetween Northern Saint City & Flaris.,You can find the Lord Mothbee flying inbetween Northern Saint City & Flaris.
PROPQUEST_REQUESTBOX_INC_010017,Mutated Aibatts (2),Em Busca do Aibatt Inexplicável (2)
PROPQUEST_REQUESTBOX_INC_010018,Tina is asking for further help regarding the Zendros threat. Could you get rid of the Lord Zendros?,Tina is asking for further help regarding the Zendros threat. Could you get rid of the Lord Zendros?
PROPQUEST_REQUESTBOX_INC_010019,You can find the Lord Zendros flying between Flaris and Saint morning continents.,You can find the Lord Zendros flying between Flaris and Saint morning continents.
PROPQUEST_REQUESTBOX_INC_010020,Dragonflies (2),Libélulas (2)
PROPQUEST_REQUESTBOX_INC_010021,Tina is asking for further help regarding the Neparuba threat. Could you get rid of the Lord Neparuba?,Tina is asking for further help regarding the Neparuba threat. Could you get rid of the Lord Neparuba?
