Key,English,Spanish
QUEST_DESTINATION_0066,Receive mail from Rankashu who is standing in front of Dekane Mine,"Recibe el correo de Rankashu, está en frente de la Mina Dekane."
QUEST_DESTINATION_0067,Drian exists in the first room,Drian está en la primera habitación.
QUEST_DESTINATION_0068,Kill keakoon in the third room and obtain key.,Derrota a los Keakoons de la tercera habitación y consigue la llave.
QUEST_DESTINATION_0069,Move to the third room and check a cell where Nevil is locked.,Ve a la tercera habitación y comprueba la celda en la que Nevil está atrapado.
QUEST_DESTINATION_0070,Kill Elite Keakoon Guard Leaders in the third room.,Derrota a los Keakoon Élite en la tercera habitación.
QUEST_DESTINATION_0071,Talk with Nevin in prison,Habla con Nevin en prisión.
QUEST_DESTINATION_0072,Break Roach egg in fifth room and obtain 15 Pink Roach Fluids,Rompe los huevos de Roach en la quinta habitación y consigue 15 Fluidos de Roach Rosa.
QUEST_DESTINATION_0073,Break Roach egg in fourth room and obtain 15 Blue Roach Fluids,Rompe Huevos de Roach en la cuarta habitación y consigue 15 Fluidos de Roach Azul.
QUEST_DESTINATION_0074,Break Roach egg in fifth room and obtain 1 Pink Roach Queen Fluid,Break Roach egg in fifth room and obtain 1 Pink Roach Queen Fluid
QUEST_DESTINATION_0075,Break Roach egg in fourth room and obtain 1 Blue Roach Queen Fluid,Break Roach egg in fourth room and obtain 1 Blue Roach Queen Fluid
QUEST_DESTINATION_0076,Obtain 30 Cillins nearby,Obtén 30 Cillins por los alrededores.
QUEST_DESTINATION_0077,Meet Kazen,Reúnete con Kazen
QUEST_DESTINATION_0078,Move to where Kazen is and kill Green Trillipy. Then obtain 30 Ribenuums,Ve hasta donde está Kazen y derrota a los Trillipys Verdes. Consigue 30 Ribenuums.
QUEST_DESTINATION_0079,You can find Nein in Dead Waldernis of Darkon 3 and do 'Finding Tridum'. Then collect 10 Ribenuums,Puedes encontrar a Nein en el Desierto Muerto de Darkon 3 y completar 'Encontrando Triduum'. Consigue los 10 Ribenuums.
QUEST_DESTINATION_0080,"Speak with Cell in Darkon 1 and do 'Trace of ID card'. After getting a key, you can obtain 20 Tridum.","Habla con Cell en Darkon 1 y completa 'Rastreo de la tarjeta ID'. Después de obtener una llave, podrás obtener 20 Triduum."
QUEST_DESTINATION_0081,Bring Ribenuum to Nein,Llévale Ribenuum a Nein
QUEST_DESTINATION_0082,You can see Mutant Fefern and Mutant Nyangnyang Queen nearby.,Puedes encontrar a los Fefern Mutantes y a la Reina Nyangnyang Mutante por alrededor.
QUEST_DESTINATION_0083,Kill Vice Veduque living in the last room of Mars dungeon.,Derrota a los Veduques Crueles que viven en la última habitación de la mazmorra Mars.
QUEST_DESTINATION_0084,It exists in Iblis and revelation can be found in the last room on left.,Está en el Templo de Iblis y puedes encontrar la revelación en la última habitación a la izquierda.
QUEST_DESTINATION_0085,Kill 8 Iblis Crashers in the Iblis Temple.,Derrota a 8 Aplastadores de Iblis en el Templo de Iblis.
QUEST_DESTINATION_0086,Kill an Iblis Guardian in the Iblis Temple.,Derrota a 4 Guardianes de Iblis en el Templo de Iblis.
QUEST_DESTINATION_0087,Obtain the Pattern by Killing an Iblis Guardian.,Obtén el Patrón derrotando al Guardián de Iblis.
QUEST_DESTINATION_0091,Please purchase a Long Sword from [Shield] Luda.,"Por favor, compra una Espada Larga del NPC Luda."
QUEST_DESTINATION_0093,"After speaking with Drian, obtain a pouch.","Después de hablar con Drian, obtén una bolsa."
QUEST_DESTINATION_0094,A group of Organigor exists nearby.,Hay un grupo de Organigor por los alrededores.
QUEST_DESTINATION_0095,A group of Gangard exists nearby.,Hay un grupo de Gangard por los alrededores.
QUEST_DESTINATION_0096,A group of Hadeseor exists nearby.,Hay un grupo de Hadeseor por los alrededores.
QUEST_DESTINATION_1000,Radion gave you this Fragment of Memories.,Radion te dió este Fragmento de Memorias.
QUEST_DESTINATION_1001,Reodos gave you this Elemental Hero's Pendant.,Reodos te dió este Colgante Elemental del Héroe.
QUEST_DESTINATION_1002,Zoro gave you this letter.,Zoro te dió esta Carta.
QUEST_DESTINATION_1003,Bring this Letter to Zoro.,Llévale está Carta a Zoro.
QUEST_DESTINATION_1004,You got this Promise Ring from the Garbagespiders.,Conseguiste este Anillo de la Promesa de los Garbagespiders.
QUEST_DESTINATION_1005,Bring this Letter to Dior.,Llévale esta Carta a Dior.
QUEST_DESTINATION_1006,Bring this Hero's Pendant to Reonan.,Llévale este Colgante del Héroe a Reonan.
QUEST_DESTINATION_1007,You got this Hero's Pendant from the Bearnerkys.,Conseguiste este Colgante del Héroe de los Bearnerkys.
QUEST_DESTINATION_1008,Bring this Agony Ore to Ainher.,Llévale este Mineral de la Agonía a Ainher.
QUEST_DESTINATION_1009,Symbols of Shade drop from Violet masquerpets with a level close to yours.,Los Símbolos de la Sombra caen de Masquerpets Violeta con un Nivel similar al tuyo.
QUEST_DESTINATION_1010,Collect Erons from Erons Catchers.,Recoge Erons de Erons Catchers.
QUEST_DESTINATION_1011,Collect Krasec from Krasec Catchers.,Recoge Krasec de Krasec Catchers.
QUEST_DESTINATION_1012,Collect Mineral from Mineral Catchers.,Recoge Mineral de Mineral Catchers.
QUEST_DESTINATION_1013,Collect Guru from Guru Catchers.,Recoge Guru de Guru Catchers.
QUEST_DESTINATION_1014,Give the Smelted Steels to Chenbing.,Dale los Aceros Fundidos a Chenbing.
QUEST_DESTINATION_1015,Give the Metallurgical Bull Ring to Colack.,Dale el Anillo de Toro Metalúrgico a Colack.
QUEST_DESTINATION_1016,Give the Supercharged Lightning Rod to Gothante.,Dale el Pararrayos Supercargado a Gothante.
QUEST_DESTINATION_1017,Collect $QUEST_END_ITEM_NAME$ from final dungeon bosses.,Recoge $QUEST_END_ITEM_NAME$ de los jefes finales de las mazmorras.
QUEST_DESTINATION_1018,Give the Elixir of Cleansing to Hael.,Dale el Elixir Limpieza a Hael.
QUEST_DESTINATION_1019,Collect Ultima from giants and treasure chests.,Recoge Ultima de gigantes y cofres del tesoro.
QUEST_DESTINATION_1020,Kill %s Prismatic Cobras and Water Totem Pole,Mata a %s Cobra Orismática y Polo Tótem Agua
QUEST_DESTINATION_1021,Kill %s Twinstrike Cobras and Wind Totem Pole,Mata a %s Cobra Golpe Gemelo y Polo Tótem Viento.
QUEST_DESTINATION_1022,Kill %s Tanuki Enforcers and Earth Totem Pole,Mata a %s Ejecutor Tanuki y Polo Tótem Tierra.
QUEST_DESTINATION_1023,Kill %s Wildwood Stalkers and Fire Totem Pole,Mata a %s Acosador Bosque Salvaje y Polo Tótem Fuego.
QUEST_DESTINATION_1024,"Kill Kriton, the Shade's right hand living deep inside Herneos.","Kill Kriton, the Shade's right hand living deep inside Herneos."
QUEST_DESTINATION_1025,Kill 150 Dreadfins in the Herneos Dungeon.,Kill 150 Dreadfins in the Herneos Dungeon.
QUEST_DESTINATION_1026,Kill 150 Dreadscales in the Herneos Dungeon.,Kill 150 Dreadscales in the Herneos Dungeon.
QUEST_DESTINATION_1027,Kill 150 Luminfins in the Herneos Dungeon.,Kill 150 Luminfins in the Herneos Dungeon.
QUEST_DESTINATION_1028,Obtained by talking to Dr. Estly.,Obtained by talking to Dr. Estly.
QUEST_DESTINATION_1029,Obtained by killing Dreadfins in the Herneos Dungeon.,Obtained by killing Dreadfins in the Herneos Dungeon.
QUEST_DESTINATION_1030,Obtained by killing Dreadscales in the Herneos Dungeon.,Obtained by killing Dreadscales in the Herneos Dungeon.
QUEST_DESTINATION_1031,Obtained by killing Luminfins in the Herneos Dungeon.,Obtained by killing Luminfins in the Herneos Dungeon.
QUEST_DESTINATION_1032,"Kill [Depths Guardian] Bunyip, the Shade's General living deep inside Herneos.","Kill [Depths Guardian] Bunyip, the Shade's General living deep inside Herneos."
QUEST_DESTINATION_1033,"Kill [Depths Queen] Nereid, the Shade's General living deep inside Herneos.","Kill [Depths Queen] Nereid, the Shade's General living deep inside Herneos."
QUEST_DESTINATION_1034,The lost treasure of Herneos should be easy to find inside Herneos.,The lost treasure of Herneos should be easy to find inside Herneos.
QUEST_DESTINATION_1035,You should be able to find one by exploring the Herneos dungeon.,You should be able to find one by exploring the Herneos dungeon.
QUEST_DESTINATION_1036,Bring it to Gergantes.,Bring it to Gergantes.
QUEST_DESTINATION_1037,Kill %s more [Twisted Soul] Orcus to spawn an hidden chest,Kill %s more [Twisted Soul] Orcus to spawn an hidden chest
QUEST_DESTINATION_1038,Kill %s more [Tormented Soul] Nergal to spawn the Mysterious Adventurer,Kill %s more [Tormented Soul] Nergal to spawn the Mysterious Adventurer
QUEST_DESTINATION_1039,Kill %s more [Demonic Soul] Hel to spawn an hidden chests,Kill %s more [Demonic Soul] Hel to spawn an hidden chests
QUEST_DESTINATION_1040,Kill %s more [Perverted Soul] Morrigan to spawn the Mysterious Adventurer,Kill %s more [Perverted Soul] Morrigan to spawn the Mysterious Adventurer
QUEST_DESTINATION_1041,Kill %s more [Anguished Soul] Mara to spawn an hidden chest,Kill %s more [Anguished Soul] Mara to spawn an hidden chest
QUEST_DESTINATION_1042,Kill %s more [Violent Soul] Ghed to spawn an hidden chest,Kill %s more [Violent Soul] Ghed to spawn an hidden chest
QUEST_DESTINATION_1043,Defeat %s Dungeon Final Boss,Defeat %s Dungeon Final Boss
QUEST_DESTINATION_1044,You received Master's letter of introduction from the previous quest.,You received Master's letter of introduction from the previous quest.
QUEST_DESTINATION_1045,You received Fragment of a Fallen Ship from the Mayor of Flarine.,You received Fragment of a Fallen Ship from the Mayor of Flarine.
QUEST_DESTINATION_1046,You received Translated Lycan Operation Plan from [Captain] Baron.,You received Translated Lycan Operation Plan from [Captain] Baron.
QUEST_DESTINATION_1047,You received All about Muran! from [Elder] Melak.,You received All about Muran! from [Elder] Melak.
QUEST_DESTINATION_1048,You collected Lycan Orders during the previous quest.,You collected Lycan Orders during the previous quest.
QUEST_DESTINATION_1049,You collected Torn Scroll during the previous quest.,You collected Torn Scroll during the previous quest.
