Key,English,Thai
PROPQUEST_REQUESTBOX_INC_000582,$QUEST_END_NPC_NAME$ is very grateful to you for completing this quest.,$QUEST_END_NPC_NAME$ รู้สึกขอบคุณเป็นอย่างยิ่งที่คุณทำภารกิจนี้สำเร็จ
PROPQUEST_REQUESTBOX_INC_000001,Party of Is,ปาร์ตี้ของ Is
PROPQUEST_REQUESTBOX_INC_000002,Is needs you to gather Chupim for her party. Will you help?,Is ต้องการให้คุณรวบรวม Chupim สำหรับงานปาร์ตี้ของเธอ คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000007,Is asking you to collect Chupim for her party.,Is กำลังขอให้คุณรวบรวม Chupim สำหรับงานปาร์ตี้ของเธอ
PROPQUEST_REQUESTBOX_INC_000012,Unknown Situation (1),สถานการณ์ที่ไม่รู้จัก (1)
PROPQUEST_REQUESTBOX_INC_000013,Flaris Pang needs you collect unknown letters. Will you help?,Flaris Pang ต้องการให้คุณรวบรวมจดหมายที่ไม่รู้จัก คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000018,Flaris Pang wants you to collect $QUEST_END_ITEM_NAME$.,Flaris Pang ต้องการให้คุณรวบรวม $QUEST_END_ITEM_NAME$
PROPQUEST_REQUESTBOX_INC_000024,Flaris Pang needs you to collect Unknown Certificates. Will you help?,Flaris Pang ต้องการให้คุณรวบรวม Unknown Certificates คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000034,Flying Board,Flying Board
PROPQUEST_REQUESTBOX_INC_000035,Dior needs you to collect Peakyrinds. Will you help?,Dior ต้องการให้คุณรวบรวม Peakyrinds คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000040,Dior wants you to collect Peakyrinds.,Dior ต้องการให้คุณรวบรวม Peakyrinds
PROPQUEST_REQUESTBOX_INC_000045,Fresh Start for Mop,การเริ่มต้นใหม่สำหรับม็อบ
PROPQUEST_REQUESTBOX_INC_000046,House of Children needs you to collect Mop for their children. Will you help?,House of Children ต้องการให้คุณรวบรวม Mop สำหรับลูกๆ ของพวกเขา คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000051,House of Children wants you to collect 3 Mop.,House of Children อยากให้คุณเก็บ 3 Mop
PROPQUEST_REQUESTBOX_INC_000056,Gems for Wands,อัญมณีสำหรับไม้กายสิทธิ์
PROPQUEST_REQUESTBOX_INC_000057,Madrigal Magician Union wants you to collect Poporam for their wands. Will you help?,Madrigal Magician Union ต้องการให้คุณรวบรวม Poporam สำหรับไม้กายสิทธิ์ของพวกเขา คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000062,Madrigal Magician Union wants you to collect 4 Poporam.,Madrigal Magician Union ต้องการให้คุณรวบรวม 4 Poporam
PROPQUEST_REQUESTBOX_INC_000067,"Cookie Machine, Valin Baget",เครื่องทำคุกกี้ Valin Baget
PROPQUEST_REQUESTBOX_INC_000068,Valin needs you to collect Slain to fuel his Cookie Machine. Will you help?,Valin ต้องการให้คุณรวบรวม Slain เพื่อเติมเชื้อเพลิงให้กับ Cookie Machine ของเขา คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000073,Valin needs you to collect Slain for his cookie machine.,Valin ต้องการให้คุณรวบรวม Slain สำหรับเครื่องทำคุกกี้ของเขา
PROPQUEST_REQUESTBOX_INC_000078,Magic Quill,ปากกาวิเศษ
PROPQUEST_REQUESTBOX_INC_000079,Mule wants you to collect Tarin roots so he can make a new magic quill. Will you help?,Mule ต้องการให้คุณรวบรวมราก Tarin เพื่อให้เขาสามารถสร้างปากกาวิเศษใหม่ได้ คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000084,Mule needs you to collect Tarin roots.,Mule ต้องการให้คุณรวบรวมราก Tarin
PROPQUEST_REQUESTBOX_INC_000089,Lyangglatang,Lyangglatang
PROPQUEST_REQUESTBOX_INC_000090,Rooney wants you to collect Nyanyangs for her party. Will you help?,Rooney ต้องการให้คุณรวบรวม Nyanyang สำหรับงานปาร์ตี้ของเธอ คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000095,Rooney needs you to collect Nyanyangs.,Rooney ต้องการให้คุณรวบรวม Nyanyang
PROPQUEST_REQUESTBOX_INC_000100,10 Year anniversary gift,ของขวัญครบรอบ 10 ปี
PROPQUEST_REQUESTBOX_INC_000101,Marche wants you to collect Starstones to make a 10 year anniversary gift. Will you help?,Marche ต้องการให้คุณรวบรวม Starstones เพื่อทำของขวัญครบรอบ 10 ปี คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000106,Marche needs Starstones,Marche ต้องการให้คุณรวบรวม Starstones
PROPQUEST_REQUESTBOX_INC_000111,Liquor for Dunkan,เครื่องดื่มสำหรับ Dunkan
PROPQUEST_REQUESTBOX_INC_000112,Dunkan needs you to collect Golden Wings to make a new liquor. Will you help?,Dunkan ต้องการให้คุณรวบรวม Golden Wings เพื่อทำเครื่องดื่มใหม่ คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000117,Dunkan wants Golden Wings.,Dunkan ต้องการให้คุณรวบรวม Golden Wings
PROPQUEST_REQUESTBOX_INC_000122,Sweet Dessert,ขนมหวานแสนอร่อย
PROPQUEST_REQUESTBOX_INC_000123,Damian needs you to collect Blue Honey to make a new dessert. Will you help?,Damian ต้องการให้คุณรวบรวม Blue Honey เพื่อทำขนมใหม่ คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000128,Damian needs Blue Honey,Damian ต้องการให้คุณรวบรวม Blue Honey
PROPQUEST_REQUESTBOX_INC_000133,Blessed Doll,ตุ๊กตาอวยพร
PROPQUEST_REQUESTBOX_INC_000134,House of Children needs you to collect Mia Dolls as presents for the children. Will you help?,House of Children ต้องการให้คุณรวบรวม Mia Dolls เป็นของขวัญสำหรับเด็ก คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000139,House of Children wants Mia Dolls.,House of Children ต้องการให้คุณรวบรวม Mia Dolls
PROPQUEST_REQUESTBOX_INC_000144,Lost Documents,เอกสารที่หายไป
PROPQUEST_REQUESTBOX_INC_000145,Julia needs you to collect office documents stolen by the Mias. Will you help?,Julia ต้องการให้คุณรวบรวมเอกสารสำนักงานที่ Mias โมยไป คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000150,Julia wants the office documents that the mia stole.,Julia ต้องการให้คุณรวบรวมเอกสารสำนักงานที่ Mias โมยไป
PROPQUEST_REQUESTBOX_INC_000155,Brightly Burning Flame,เปลวไฟที่แผดเผา
PROPQUEST_REQUESTBOX_INC_000156,Bozman needs you to collect furious matches to use at his blast furnace. Will you help?,Bozman ต้องการให้คุณรวบรวมไม้ขีดไฟเพื่อใช้ที่เตาหลอมของเขา คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000161,Bozman wants furious matches,Bozman ต้องการให้คุณรวบรวมไม้ขีดไฟ
PROPQUEST_REQUESTBOX_INC_000166,Unknown Situation (2),สถานการณ์ที่ไม่รู้จัก (2)
PROPQUEST_REQUESTBOX_INC_000167,Flaris Pang needs you to collect unknown letters.,Flaris Pang ต้องการให้คุณรวบรวมจดหมายที่ไม่รู้จัก
PROPQUEST_REQUESTBOX_INC_000172,Flaris Pang needs unknown letters again.,Flaris Pang ต้องการจดหมายที่ไม่รู้จักอีกครั้ง
PROPQUEST_REQUESTBOX_INC_000177,Delicious Sauce,ซอสแสนอร่อย
PROPQUEST_REQUESTBOX_INC_000178,Kalin needs you to collect Cardrin to make delicious sauce.,Kalin ต้องการให้คุณรวบรวม Cardrin เพื่อทำซอสแสนอร่อย
PROPQUEST_REQUESTBOX_INC_000183,Kalin wants Cardrin.,Kalin ต้องการให้คุณรวบรวม Cardrin
PROPQUEST_REQUESTBOX_INC_000188,Magic Orb,ลูกแก้ววิเศษ
PROPQUEST_REQUESTBOX_INC_000189,Martin needs Hammarble to make a Magic Orb. Will you help?,Martin ต้องการ Hammarble เพื่อสร้าง Magic Orb คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000194,Martin wants Hammarbles.,Martin ต้องการ Hammarble
PROPQUEST_REQUESTBOX_INC_000199,Mark of Bill,เครื่องหมายของบิล
PROPQUEST_REQUESTBOX_INC_000200,Bill needs you to collect Gigglande so that he can make his mark. Will you help?,Bill ต้องการให้คุณรวบรวม Gigglande เพื่อที่เขาจะได้ทำเครื่องหมายของเขา คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000205,Bill wants Gigglande.,Bill ต้องการให้คุณรวบรวม Gigglande
PROPQUEST_REQUESTBOX_INC_000210,Repair Work on Saint Hall,งานซ่อมที่ Saint Hall
PROPQUEST_REQUESTBOX_INC_000211,Helena needs you to collect Crescent Stones to repair Saint Hall. Will you help?,Helena ต้องการให้คุณรวบรวม Crescent Stones เพื่อซ่อมแซม Saint Hall คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000216,Helena wants $QUEST_END_ITEM_NAME$.,เฮเลน่าต้องการ $QUEST_END_ITEM_NAME$
PROPQUEST_REQUESTBOX_INC_000221,Helping injured animals,ช่วยเหลือสัตว์บาดเจ็บ
PROPQUEST_REQUESTBOX_INC_000222,Madrigal Animal Association needs you to collect Bobands to help their injured animals. Will you help?,Madrigal Animal Association ต้องการให้คุณรวบรวม Bobbands เพื่อช่วยสัตว์ที่ได้รับบาดเจ็บ คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000227,Madrigal Animal Association wants Bobands.,Madrigal Animal Association ต้องการ Bobbands
PROPQUEST_REQUESTBOX_INC_000232,Strange Collector,นักสะสมของแปลก
PROPQUEST_REQUESTBOX_INC_000233,Strange Collector needs you to collect Dumblings for his collection. Will you help?,นักสะสมของแปลกต้องการให้คุณรวบรวม Dumblings สำหรับคอลเลกชันของเขา คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000243,For the Wife,เพื่อภรรยา
PROPQUEST_REQUESTBOX_INC_000244,Mayer needs Kalin to make a present for his wife. Will you help?,Mayer ต้องการให้ Kalin ทำของขวัญให้ภรรยาของเขา คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000249,Mayer wants Kalin.,Mayer ต้องการให้ Kalin ทำของขวัญให้
PROPQUEST_REQUESTBOX_INC_000254,Weak Heart,หัวใจที่อ่อนแอ
PROPQUEST_REQUESTBOX_INC_000255,Helena needs clock hearts to make a new heart for her sick brother. Will you help?,Helena ต้องการนาฬิกาหัวใจเพื่อสร้างหัวใจใหม่ให้กับน้องชายที่ป่วยของเธอ คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000265,Devil Marble,Devil Marble
PROPQUEST_REQUESTBOX_INC_000266,Bill needs Tomb Marbles to make the Devil Marble. Will you help?,Bill ต้องการ Tomb Marbles เพื่อสร้าง Devil Marble คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000271,Bill wants Tomb Marbles.,Bill ต้องการ Tomb Marbles
PROPQUEST_REQUESTBOX_INC_000276,Dream of the Fighter,ความฝันของนักสู้
PROPQUEST_REQUESTBOX_INC_000277,Fighter needs you to collect Golden Fists to make a golden glove. Will you help?,นักสู้ต้องการให้คุณรวบรวม Golden Fists เพื่อทำถุงมือทองคำ คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000282,Fighter wants Golden Fists.,นักสู้ต้องการ Golden Fists
PROPQUEST_REQUESTBOX_INC_000287,Marbles for the Son,ลูกแก้วสำหรับลูกชาย
PROPQUEST_REQUESTBOX_INC_000288,Mayer needs orbin to make marbles for his son. Will you help?,Mayer ต้องการออร์บินเพื่อทำลูกแก้วให้ลูกชายของเขา คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000293,Mayer wants orbin.,Mayer ต้องการออร์บิน
PROPQUEST_REQUESTBOX_INC_000298,Strange Collector (2),นักสะสมของแปลก (2)
PROPQUEST_REQUESTBOX_INC_000299,Strange Collector needs you to collect $QUEST_END_ITEM_NAME$ for his collection. Will you help?,นักสะสมของแปลกต้องการให้คุณรวบรวม $QUEST_END_ITEM_NAME$ สำหรับคอลเล็กชันของเขา คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000304,Strange Collector wants $QUEST_END_ITEM_NAME$.,นักสะสมของแปลกต้องการ $QUEST_END_ITEM_NAME$
PROPQUEST_REQUESTBOX_INC_000309,Lens of Olien,เลนส์ของ Olien
PROPQUEST_REQUESTBOX_INC_000310,Olien needs you to collect steam tears to make a new lens. Will you help?,Olien ต้องการให้คุณรวบรวม Steam Tears เพื่อสร้างเลนส์ใหม่ คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000315,Olien wants steam tears.,Olien ต้องการให้ Steam Tears
PROPQUEST_REQUESTBOX_INC_000320,Red Muffler,ผ้าพันคอสีแดง
PROPQUEST_REQUESTBOX_INC_000321,Soldier needs you to collect knightlers to make a new scarf. Will you help?,ทหารต้องการให้คุณรวบรวม Knightlers เพื่อทำผ้าพันคอใหม่ คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000326,Soldier wants knightler.,ทหารต้องการ Knightlers
PROPQUEST_REQUESTBOX_INC_000331,Dwarpet Festival,เทศกาล Dwarpet
PROPQUEST_REQUESTBOX_INC_000332,The Dwarpet needs you to collect wheeshoes for their festival. Will you help?,Dwarpet ต้องการให้คุณรวบรวม Wheeshoes สำหรับเทศกาลของพวกเขา คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000337,The Dwarpet wants wheesoes.,Dwarpet ต้องการ Wheeshoes
PROPQUEST_REQUESTBOX_INC_000342,Crane Repair,ซ่อมเครน
PROPQUEST_REQUESTBOX_INC_000343,The Erons Industrial Manager needs Droil to repair their crane. Will you help?,ผู้จัดการฝ่ายอุตสาหกรรมของ Erons ต้องการ Droil มาซ่อมแซมเครน คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000348,Erons want Droils.,Erons ต้องการ Droil
PROPQUEST_REQUESTBOX_INC_000353,Urgently looking for a Bandage,หาผ้าพันแผลโดยด่วน
PROPQUEST_REQUESTBOX_INC_000364,Portable Power,พลังงานแบบพกพา
PROPQUEST_REQUESTBOX_INC_000375,Strange Collector (3),นักสะสมของแปลก (3)
PROPQUEST_REQUESTBOX_INC_000386,Replacement Tires,ยางอะไหล่
PROPQUEST_REQUESTBOX_INC_000387,The Dwarpet needs you to collect Dumptires to replace his flat tires. Will you help?,Dwarpet ต้องการให้คุณรวบรวม Dumptires เพื่อเปลี่ยนยางที่แบนของเขา คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000392,The Dwarpet wants Dumptire.,Dwarpet ต้องการ Dumptires
PROPQUEST_REQUESTBOX_INC_000397,Strange Collector (4),นักสะสมของแปลก (4)
PROPQUEST_REQUESTBOX_INC_000398,Mysterious collector needs Garbageton for his collection. Will you help?,นักสะสมลึกลับต้องการ Garbageton สำหรับคอลเลกชันของเขา คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000408,Relics of a Husband,เรลิคของสามี
PROPQUEST_REQUESTBOX_INC_000409,A widow has asked that you collect Eronior so that she can re-make the ring of her husband. Will you help?,หญิงม่ายขอให้คุณรวบรวม Eronior เพื่อที่เธอจะได้ทำแหวนให้สามีของเธอใหม่ คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000414,A widow wants some Eronior.,หญิงม่ายต้องการ Eronior
PROPQUEST_REQUESTBOX_INC_000419,Disguise of Remina,การปลอมตัวของ Remina
PROPQUEST_REQUESTBOX_INC_000420,Remina needs you to collect repygle to make a pair of disguising sunglasses. Will you help?,Remina ต้องการให้คุณรวบรวม Repygle เพื่อทำแว่นกันแดดปลอมตัว คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000425,Remina wants $QUEST_END_ITEM_NAME$.,Remina ต้องการ $QUEST_END_ITEM_NAME$
PROPQUEST_REQUESTBOX_INC_000430,Beautiful Keil Wallpaper,วอลล์เปเปอร์ Keil ที่สวยงาม
PROPQUEST_REQUESTBOX_INC_000431,Haven needs you to collect Sycale to re-model the Magic Shop. Will you help?,Haven ต้องการให้คุณรวบรวม Sycale เพื่อสร้างโมเดล Magic Shop ใหม่ คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000436,Heaven wants Sycale.,สวรรค์ต้องการ Sycale
PROPQUEST_REQUESTBOX_INC_000441,Strange Collector (5),นักสะสมของแปลก (5)
PROPQUEST_REQUESTBOX_INC_000442,Strange Collector needs $QUEST_END_ITEM_NAME$ for his collection. Will you help?,นักสะสมของแปลกต้องการ $QUEST_END_ITEM_NAME$ สำหรับคอลเล็กชันของเขา คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000447,Strange collector want Mong Tear,นักสะสมของแปลกต้องการ Mong Tear
PROPQUEST_REQUESTBOX_INC_000452,Anesthetic Needs,ความต้องการยาชา
PROPQUEST_REQUESTBOX_INC_000463,New Kind of Firework,ดอกไม้ไฟชนิดใหม่
PROPQUEST_REQUESTBOX_INC_000464,The Fireworks Producer needs Bomb Timers to make a new kind of firework. Will you help?,ผู้ผลิตดอกไม้ไฟต้องการ Bomb Timers เพื่อสร้างดอกไม้ไฟรูปแบบใหม่ คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000465,You get bombtimers from any type of Carrierbomb.,ผู้ผลิตดอกไม้ไฟต้องการ Bomb Timers จาก Carrierbomb ทุกประเภท
PROPQUEST_REQUESTBOX_INC_000469,The Firework Producer wants Bomb Timers.,ผู้ผลิตดอกไม้ไฟต้องการ Bomb Timers
PROPQUEST_REQUESTBOX_INC_000474,Snack for the Children,ขนมสำหรับเด็กๆ
PROPQUEST_REQUESTBOX_INC_000475,Bolpor needs Prewing to make some snacks for the children. Will you help?,Bolpor ต้องการ Prewing เพื่อทำขนมให้กับเด็กๆ คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000480,Bolpor wants Prewing.,Bolpor ต้องการ Prewing
PROPQUEST_REQUESTBOX_INC_000485,Mushroom Farm of Chitller,ฟาร์มเห็ดของ Chitller
PROPQUEST_REQUESTBOX_INC_000486,Chitller needs you to collect Poiespore for his mushroom farm will you help?,Chitller ต้องการให้คุณรวบรวม Poiespore สำหรับฟาร์มเห็ดของเขา คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000491,Chitller wants Poiespore.,Chitller ต้องการ Poiespore
PROPQUEST_REQUESTBOX_INC_000496,New Yo-Yo,โยโย่อันใหม่
PROPQUEST_REQUESTBOX_INC_000497,An Acrobat master needs you to gather Renyken to make a new Yo-Yo. Will you help?,มาสเตอร์ Acrobat ต้องการให้คุณรวบรวม Renyken เพื่อสร้าง Yo-Yo ใหม่ คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000502,An Acrobat master wants Renyken.,มาสเตอร์ Acrobat ต้องการ Renyken
PROPQUEST_REQUESTBOX_INC_000507,Disguise of a Native,การปลอมตัวของชนพื้นเมือง
PROPQUEST_REQUESTBOX_INC_000508,Darkon natives need you to collect Tangkask. Will you help?,ชาว Darkon ต้องการให้คุณรวบรวม Tangkask คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000513,Darkon natives want Tankask.,ชาว Darkon ต้องการ Tankask
PROPQUEST_REQUESTBOX_INC_000518,Woodworking Material,วัสดุงานไม้
PROPQUEST_REQUESTBOX_INC_000529,The Best Shield,โล่ที่ดีที่สุด
PROPQUEST_REQUESTBOX_INC_000530,Remina needs Luchest to make the strongest shield in the world. Will you help?,Remina ต้องการ Luchest เพื่อสร้างโล่ที่แข็งแกร่งที่สุดในโลก คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000540,Beauty Contest Award,รางวัลประกวดนางงาม
PROPQUEST_REQUESTBOX_INC_000541,The Madrigal Beauty Contest needs Eronsimint for making an award. Will you help?,งานประกวดนางงาม Madrigal ต้องการ Eronsimint สำหรับทำรางวัล คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000546,The Madrigal Beauty Contest sponsor wants Eronsimint.,ผู้สนับสนุนงานประกวดนางงาม Madrigal ต้องการ Eronsimint
PROPQUEST_REQUESTBOX_INC_000551,Lucky Tool,เครื่องมือนำโชค
PROPQUEST_REQUESTBOX_INC_000552,Lucky needs Hammamer to make a lucky hammer. Will you help?,Lucky ต้องการ Hammamer เพื่อทำค้อนนำโชค คุณจะช่วยไหม
PROPQUEST_REQUESTBOX_INC_000557,Lucky wants Hammamer.,Lucky ต้องการ Hammamer
PROPQUEST_REQUESTBOX_INC_000562,Strange Collector (6),นักสะสมของแปลก (6)
PROPQUEST_REQUESTBOX_INC_000573,Request of Lurif,คำขอของ Lurif
PROPQUEST_REQUESTBOX_INC_000574,Could you do me a favor? I need Phanbubble. Can you help me please?,คุณช่วยฉันหน่อยได้ไหม ฉันต้องการ Phanbubble ได้โปรดช่วยฉันหน่อยได้ไหม?
PROPQUEST_REQUESTBOX_INC_000579,Lurif needs many Phanbubbles.,Lurif ต้องการ Phanbubble จำนวนมาก
PROPQUEST_REQUESTBOX_INC_000815,Mysterious Magic Material,วัสดุเวทย์มนตร์ลึกลับ
PROPQUEST_REQUESTBOX_INC_000816,Magician Master requested you to collect Merahook which is a magic material. Will you accept this request?,Magician Master ขอให้คุณรวบรวม Merahook ซึ่งเป็นวัสดุเวทย์มนตร์ คุณจะยอมรับคำขอนี้หรือไม่?
PROPQUEST_REQUESTBOX_INC_000817,You can collect them from the group of Chimeradon in the Deadwallderness.,คุณสามารถรวบรวมได้จากกลุ่มของ Chimeradon ใน Deadwallderness
PROPQUEST_REQUESTBOX_INC_000826,Avenge Nerky,ล้างแค้น Nerky
PROPQUEST_REQUESTBOX_INC_000827,Krinton's pet Bearnerky got killed by the other Bearnerky. Krinton requested you to collect NerkyMane for revenge. Will you accept this request?,Bearnerky สัตว์เลี้ยงของ Krinton ถูก Bearnerky อีกคนฆ่า Krinton ขอให้คุณรวบรวม NerkyMane เพื่อแก้แค้น คุณจะยอมรับคำขอนี้หรือไม่?
PROPQUEST_REQUESTBOX_INC_000828,You can collect them from the group of Bearnerky in the Deadwallderness.,คุณสามารถรวบรวมได้จากกลุ่ม Bearnerky ใน Deadwallderness
PROPQUEST_REQUESTBOX_INC_000837,Bolpor's favor,ความโปรดปรานของ Bolpor
PROPQUEST_REQUESTBOX_INC_000838,Bolpor requested you to collect Rincruet for making some special food. Will you accept this request?,Bolpor ขอให้คุณรวบรวม Rincruet เพื่อทำอาหารพิเศษ คุณจะยอมรับคำขอนี้หรือไม่?
PROPQUEST_REQUESTBOX_INC_000839,You can collect them from the group of Muffrin in the Deadwallderness.,คุณสามารถรวบรวมได้จากกลุ่ม Muffrin ใน Deadwallderness
PROPQUEST_REQUESTBOX_INC_000848,Toy Materials,วัสดุของเล่น
PROPQUEST_REQUESTBOX_INC_000849,A toy merchant requested you to collect Popshift for making fancy toys. Will you accept this request?,พ่อค้าของเล่นขอให้คุณรวบรวม Popshift เพื่อทำของเล่นแฟนซี คุณจะยอมรับคำขอนี้หรือไม่?
PROPQUEST_REQUESTBOX_INC_000850,You can collect them from the group of Popcrank in the Deadwallderness.,คุณสามารถรวบรวมได้จากกลุ่ม Popcrank ใน Deadwallderness
PROPQUEST_REQUESTBOX_INC_000859,Evil Eyed Red Dragon,มังกรแดงชั่วร้าย
PROPQUEST_REQUESTBOX_INC_000860,Can you please go find Dragon Tooth of the Meteonyker Dragon for me? The Arena Manager Lay requested 5 of them.,คุณช่วยไปหา Dragon Tooth of the Meteonyker Dragon ให้ฉันได้ไหม Lay ผู้จัดการอารีน่าขอ 5 ชิ้น
PROPQUEST_REQUESTBOX_INC_000861,"You can collect them from Meteonyker. I heard it's in Dekane Dungeon. Be careful, the Meteonyker is very strong! It's  best if you go with a party!",คุณสามารถรวบรวมได้จาก Meteonyker ฉันได้ยินมาว่ามันอยู่ใน Dekane Dungeon ระวังนะ Meteonyker แข็งแกร่งมาก! ถ้าคุณไปกับปาร์ตี้จะดีกว่า!
PROPQUEST_REQUESTBOX_INC_010000,Moth Infestation,การระบาดของ Moth
