Key,English,Thai
QUEST_DESTINATION_0086,Kill an Iblis Guardian in the Iblis Temple.,สังหาร Iblis Guardian ในวัด Iblis
QUEST_DESTINATION_0087,Obtain the Pattern by Killing an Iblis Guardian.,รับ Pattern โดยการสังหาร Iblis Guardian
QUEST_DESTINATION_0091,Please purchase a Long Sword from [Shield] Luda.,โปรดซื้อLong Swordจาก [Shield] Luda
QUEST_DESTINATION_0093,"After speaking with Drian, obtain a pouch.",หลังจากคุยกับ Drian แล้ว จะได้รับกระเป๋า
QUEST_DESTINATION_0094,A group of Organigor exists nearby.,พวก Organigor อยู่ใกล้ๆ
QUEST_DESTINATION_0095,A group of Gangard exists nearby.,พวก Gangard อยู่ใกล้ๆ
QUEST_DESTINATION_0096,A group of Hadeseor exists nearby.,พวก Hadeseor อยู่ใกล้ๆ
QUEST_DESTINATION_1000,Radion gave you this Fragment of Memories.,Radion มอบ Fragment of Memories ให้คุณ
QUEST_DESTINATION_1001,Reodos gave you this Elemental Hero's Pendant.,Reodos มอบ Elemental Hero's Pendant ให้คุณ
QUEST_DESTINATION_1002,Zoro gave you this letter.,Zoro ให้จดหมายนี้กับคุณ
QUEST_DESTINATION_1003,Bring this Letter to Zoro.,นำจดหมายฉบับนี้ไปให้ Zoro
QUEST_DESTINATION_1004,You got this Promise Ring from the Garbagespiders.,คุณได้ Promise Ring นี้มาจาก Garbagespiders
QUEST_DESTINATION_1005,Bring this Letter to Dior.,นำจดหมายฉบับนี้ไปให้ดิออร์
QUEST_DESTINATION_1006,Bring this Hero's Pendant to Reonan.,นำ Hero's Pendant ไปให้ Reonan
QUEST_DESTINATION_1007,You got this Hero's Pendant from the Bearnerkys.,คุณได้ Hero's Pendant นี้จาก Bearnerkys
QUEST_DESTINATION_1008,Bring this Agony Ore to Ainher.,นำ Agony Ore ไปให้ Ainher
QUEST_DESTINATION_1009,Symbols of Shade drop from Violet masquerpets with a level close to yours.,Symbols of Shade ดรอปมาจาก Violet masquerpets ที่มี Level ใกล้เคียงกับคุณ
QUEST_DESTINATION_1010,Collect Erons from Erons Catchers.,เก็บ Erons มาจาก Erons Catchers
QUEST_DESTINATION_1011,Collect Krasec from Krasec Catchers.,เก็บ Krasec มาจาก Krasec Catchers
QUEST_DESTINATION_1012,Collect Mineral from Mineral Catchers.,เก็บ Mineral มาจาก Mineral Catchers
QUEST_DESTINATION_1013,Collect Guru from Guru Catchers.,เก็บ Guru Catchers มาจาก Guru Catchers
QUEST_DESTINATION_1014,Give the Smelted Steels to Chenbing.,ให้ Smelted Steels แก่ Chenbing
QUEST_DESTINATION_1015,Give the Metallurgical Bull Ring to Colack.,ให้ Metallurgical Bull Ring แก่ Colack
QUEST_DESTINATION_1016,Give the Supercharged Lightning Rod to Gothante.,ให้ Supercharged Lightning Rod แก่ Gothante
QUEST_DESTINATION_1017,Collect $QUEST_END_ITEM_NAME$ from final dungeon bosses.,เก็บ $QUEST_END_ITEM_NAME$ จากบอสในดันเจี้ยน
QUEST_DESTINATION_1018,Give the Elixir of Cleansing to Hael.,นำเอา Elixir of Cleansing ไปให้ Hael
QUEST_DESTINATION_1019,Collect Ultima from giants and treasure chests.,เก็บ Ultima จาก giants และหีบสมบัติ
QUEST_DESTINATION_1020,Kill %s Prismatic Cobras and Water Totem Pole,สังหาร %s Prismatic Cobras และ Water Totem Pole
QUEST_DESTINATION_1021,Kill %s Twinstrike Cobras and Wind Totem Pole,สังหาร %s Twinstrike Cobras และ Wind Totem Pole
QUEST_DESTINATION_1022,Kill %s Tanuki Enforcers and Earth Totem Pole,สังหาร %s Tanuki Enforcers และ Earth Totem Pole
QUEST_DESTINATION_1023,Kill %s Wildwood Stalkers and Fire Totem Pole,สังหาร %s Wildwood Stalkers และ Fire Totem Pole
QUEST_DESTINATION_1024,"Kill Kriton, the Shade's right hand living deep inside Herneos.","Kill Kriton, the Shade's right hand living deep inside Herneos."
QUEST_DESTINATION_1025,Kill 150 Dreadfins in the Herneos Dungeon.,Kill 150 Dreadfins in the Herneos Dungeon.
QUEST_DESTINATION_1026,Kill 150 Dreadscales in the Herneos Dungeon.,Kill 150 Dreadscales in the Herneos Dungeon.
QUEST_DESTINATION_1027,Kill 150 Luminfins in the Herneos Dungeon.,Kill 150 Luminfins in the Herneos Dungeon.
QUEST_DESTINATION_1028,Obtained by talking to Dr. Estly.,Obtained by talking to Dr. Estly.
QUEST_DESTINATION_1029,Obtained by killing Dreadfins in the Herneos Dungeon.,Obtained by killing Dreadfins in the Herneos Dungeon.
QUEST_DESTINATION_1030,Obtained by killing Dreadscales in the Herneos Dungeon.,Obtained by killing Dreadscales in the Herneos Dungeon.
QUEST_DESTINATION_1031,Obtained by killing Luminfins in the Herneos Dungeon.,Obtained by killing Luminfins in the Herneos Dungeon.
QUEST_DESTINATION_1032,"Kill [Depths Guardian] Bunyip, the Shade's General living deep inside Herneos.","Kill [Depths Guardian] Bunyip, the Shade's General living deep inside Herneos."
QUEST_DESTINATION_1033,"Kill [Depths Queen] Nereid, the Shade's General living deep inside Herneos.","Kill [Depths Queen] Nereid, the Shade's General living deep inside Herneos."
QUEST_DESTINATION_1034,The lost treasure of Herneos should be easy to find inside Herneos.,The lost treasure of Herneos should be easy to find inside Herneos.
QUEST_DESTINATION_1035,You should be able to find one by exploring the Herneos dungeon.,You should be able to find one by exploring the Herneos dungeon.
QUEST_DESTINATION_1036,Bring it to Gergantes.,Bring it to Gergantes.
QUEST_DESTINATION_1037,Kill %s more [Twisted Soul] Orcus to spawn an hidden chest,Kill %s more [Twisted Soul] Orcus to spawn an hidden chest
QUEST_DESTINATION_1038,Kill %s more [Tormented Soul] Nergal to spawn the Mysterious Adventurer,Kill %s more [Tormented Soul] Nergal to spawn the Mysterious Adventurer
QUEST_DESTINATION_1039,Kill %s more [Demonic Soul] Hel to spawn an hidden chests,Kill %s more [Demonic Soul] Hel to spawn an hidden chests
QUEST_DESTINATION_1040,Kill %s more [Perverted Soul] Morrigan to spawn the Mysterious Adventurer,Kill %s more [Perverted Soul] Morrigan to spawn the Mysterious Adventurer
QUEST_DESTINATION_1041,Kill %s more [Anguished Soul] Mara to spawn an hidden chest,Kill %s more [Anguished Soul] Mara to spawn an hidden chest
QUEST_DESTINATION_1042,Kill %s more [Violent Soul] Ghed to spawn an hidden chest,Kill %s more [Violent Soul] Ghed to spawn an hidden chest
QUEST_DESTINATION_1043,Defeat %s Dungeon Final Boss,Defeat %s Dungeon Final Boss
QUEST_DESTINATION_1044,You received Master's letter of introduction from the previous quest.,You received Master's letter of introduction from the previous quest.
QUEST_DESTINATION_1045,You received Fragment of a Fallen Ship from the Mayor of Flarine.,You received Fragment of a Fallen Ship from the Mayor of Flarine.
QUEST_DESTINATION_1046,You received Translated Lycan Operation Plan from [Captain] Baron.,You received Translated Lycan Operation Plan from [Captain] Baron.
QUEST_DESTINATION_1047,You received All about Muran! from [Elder] Melak.,You received All about Muran! from [Elder] Melak.
QUEST_DESTINATION_1048,You collected Lycan Orders during the previous quest.,You collected Lycan Orders during the previous quest.
QUEST_DESTINATION_1049,You collected Torn Scroll during the previous quest.,You collected Torn Scroll during the previous quest.
