Key,English,Russian
PROPQUEST_REQUESTBOX_INC_000307,$QUEST_END_NPC_NAME$ was happy to see the quest completed.,$QUEST_END_NPC_NAME$ was happy to see the quest completed.
PROPQUEST_REQUESTBOX_INC_000582,$QUEST_END_NPC_NAME$ is very grateful to you for completing this quest.,$QUEST_END_NPC_NAME$ is very grateful to you for completing this quest.
PROPQUEST_REQUESTBOX_INC_000001,Party of Is,Вечеринка у Исы
PROPQUEST_REQUESTBOX_INC_000002,Is needs you to gather Chupim for her party. Will you help?,Is needs you to gather Chupim for her party. Will you help?
PROPQUEST_REQUESTBOX_INC_000007,Is asking you to collect Chupim for her party.,Исе требуются кислые яблоки для пирога. Придется отобрать их у Вуки-туки.
PROPQUEST_REQUESTBOX_INC_000012,Unknown Situation (1),Unknown Situation (1)
PROPQUEST_REQUESTBOX_INC_000013,Flaris Pang needs you collect unknown letters. Will you help?,"Ага. 'Кто-то разбросал по Фларинции листовки о том, как плоха здешняя жизнь. Пингвид просит их собрать.' Возьмешься?"
PROPQUEST_REQUESTBOX_INC_000018,Flaris Pang wants you to collect $QUEST_END_ITEM_NAME$.,"Знаешь, что такое $QUEST_END_ITEM_NAME$ ? Фларинтийский Пингвид просит их собрать."
PROPQUEST_REQUESTBOX_INC_000024,Flaris Pang needs you to collect Unknown Certificates. Will you help?,"Так-так… 'Пингвид просит собрать фальшивые купоны, разбросанные во Фларинции мошенниками.' Поможешь?"
PROPQUEST_REQUESTBOX_INC_000034,Flying Board,Осколки панцирей для Диор
PROPQUEST_REQUESTBOX_INC_000035,Dior needs you to collect Peakyrinds. Will you help?,Dior needs you to collect Peakyrinds. Will you help?
PROPQUEST_REQUESTBOX_INC_000040,Dior wants you to collect Peakyrinds.,Диор нужны осколки панцирей бронтодонов.
PROPQUEST_REQUESTBOX_INC_000045,Fresh Start for Mop,Плюшевые мишки для сирот
PROPQUEST_REQUESTBOX_INC_000046,House of Children needs you to collect Mop for their children. Will you help?,А! Задание как раз для тебя. 'Злыдни похитили у сирот из приюта плюшевых мишек!' Вернешь игрушки детям?
PROPQUEST_REQUESTBOX_INC_000051,House of Children wants you to collect 3 Mop.,Нужно вернуть сироткам 3 плюшевые мишки. Пойду сражаться со злыднями…
PROPQUEST_REQUESTBOX_INC_000056,Gems for Wands,Жемчужины для палочек
PROPQUEST_REQUESTBOX_INC_000057,Madrigal Magician Union wants you to collect Poporam for their wands. Will you help?,"Ну-ка, посмотрим… 'Союзу Фокусников Мадригала нужен розовый жемчуг для новых палочек.' Раздобудешь его?"
PROPQUEST_REQUESTBOX_INC_000062,Madrigal Magician Union wants you to collect 4 Poporam.,Нужно раздобыть 4 розовых жемчужины для Союза Фокусников Мадригала. Пойду искать коньков…
PROPQUEST_REQUESTBOX_INC_000067,"Cookie Machine, Valin Baget",Клыки для Валина
PROPQUEST_REQUESTBOX_INC_000068,Valin needs you to collect Slain to fuel his Cookie Machine. Will you help?,"Так-так, посмотрим…  'Валину нужны клыки волкопардов, чтобы собрать автомат, перемалывающий шоколадную крошку для печенья.' Возьмешься?"
PROPQUEST_REQUESTBOX_INC_000073,Valin needs you to collect Slain for his cookie machine.,"Валину нужны клыки волкопардов, чтобы собрать автомат, перемалывающий шоколадную крошку для печенья."
PROPQUEST_REQUESTBOX_INC_000078,Magic Quill,Корень крыжорника
PROPQUEST_REQUESTBOX_INC_000079,Mule wants you to collect Tarin roots so he can make a new magic quill. Will you help?,"Так-так… 'Мулю нужен корень крыжорника, чтобы приготовить чернила.'  Подходит?"
PROPQUEST_REQUESTBOX_INC_000084,Mule needs you to collect Tarin roots.,Mule needs you to collect Tarin roots.
PROPQUEST_REQUESTBOX_INC_000089,Lyangglatang,Вискис для вечеринки
PROPQUEST_REQUESTBOX_INC_000090,Rooney wants you to collect Nyanyangs for her party. Will you help?,"Ну-ка, поглядим… 'Руни устраивает вечеринку, и ему нужен вискис.' Поможешь?"
PROPQUEST_REQUESTBOX_INC_000095,Rooney needs you to collect Nyanyangs.,Rooney needs you to collect Nyanyangs.
PROPQUEST_REQUESTBOX_INC_000100,10 Year anniversary gift,Подарок городу
PROPQUEST_REQUESTBOX_INC_000101,Marche wants you to collect Starstones to make a 10 year anniversary gift. Will you help?,Ага. 'Марша готовит фларинтийцам подарок ко дню рождения города. Ей нужны каменные звездочки.' Раздобудешь их?
PROPQUEST_REQUESTBOX_INC_000106,Marche needs Starstones,Marche needs Starstones
PROPQUEST_REQUESTBOX_INC_000111,Liquor for Dunkan,Необычный напиток
PROPQUEST_REQUESTBOX_INC_000112,Dunkan needs you to collect Golden Wings to make a new liquor. Will you help?,Dunkan needs you to collect Golden Wings to make a new liquor. Will you help?
PROPQUEST_REQUESTBOX_INC_000117,Dunkan wants Golden Wings.,Dunkan wants Golden Wings.
PROPQUEST_REQUESTBOX_INC_000122,Sweet Dessert,Сладкий десерт
PROPQUEST_REQUESTBOX_INC_000123,Damian needs you to collect Blue Honey to make a new dessert. Will you help?,"Ну-ка, ну-ка… 'Злыдень хочет помириться с фларинтийцами и приготовить для всех пудинг. Ему нужен синий мед.' Добудешь его?"
PROPQUEST_REQUESTBOX_INC_000128,Damian needs Blue Honey,"Городскому злыдню нужен синий мед, чтобы приготовить пудинг и помириться с фларинтийцами. Придется охотиться на злопухов."
PROPQUEST_REQUESTBOX_INC_000133,Blessed Doll,Куклы для сирот
PROPQUEST_REQUESTBOX_INC_000134,House of Children needs you to collect Mia Dolls as presents for the children. Will you help?,Ага. 'Сиротскому приюту очень нужны игрушки. Дети будут особенно рады куклам Миа.' Поможешь раздобыть их?
PROPQUEST_REQUESTBOX_INC_000139,House of Children wants Mia Dolls.,Сиротскому приюту очень нужны куклы Миа.
PROPQUEST_REQUESTBOX_INC_000144,Lost Documents,Официальные бумаги
PROPQUEST_REQUESTBOX_INC_000145,Julia needs you to collect office documents stolen by the Mias. Will you help?,"Ну-ка... 'Джулия просит вернуть официальные бумаги, похищенные из ратуши Миа.' Возьмешься помочь?"
PROPQUEST_REQUESTBOX_INC_000150,Julia wants the office documents that the mia stole.,"Джулия хочет вернуть бумаги, украденные из ратуши Миа."
PROPQUEST_REQUESTBOX_INC_000155,Brightly Burning Flame,Огонь в кузнице
PROPQUEST_REQUESTBOX_INC_000156,Bozman needs you to collect furious matches to use at his blast furnace. Will you help?,Bozman needs you to collect furious matches to use at his blast furnace. Will you help?
PROPQUEST_REQUESTBOX_INC_000161,Bozman wants furious matches,Bozman wants furious matches
PROPQUEST_REQUESTBOX_INC_000166,Unknown Situation (2),Неприятные листовки - 2
PROPQUEST_REQUESTBOX_INC_000167,Flaris Pang needs you to collect unknown letters.,Ага! 'Негодники опять раскидали по Фларинции листовки. Пингвид просит их собрать.' Поможешь?
PROPQUEST_REQUESTBOX_INC_000172,Flaris Pang needs unknown letters again.,Фларинтийский Пингвид попросил собрать очередные неприятные листовки у моста через Плакучую реку.
PROPQUEST_REQUESTBOX_INC_000177,Delicious Sauce,Вкусный соус
PROPQUEST_REQUESTBOX_INC_000178,Kalin needs you to collect Cardrin to make delicious sauce.,Так-так… 'Калину нужны шипы красных богомолов для острого соуса.' Возьмешься их добыть?
PROPQUEST_REQUESTBOX_INC_000183,Kalin wants Cardrin.,"Калину нужны шипы красных богомолов, чтобы приготовить соус."
PROPQUEST_REQUESTBOX_INC_000188,Magic Orb,Волшебный шар
PROPQUEST_REQUESTBOX_INC_000189,Martin needs Hammarble to make a Magic Orb. Will you help?,Martin needs Hammarble to make a Magic Orb. Will you help?
PROPQUEST_REQUESTBOX_INC_000194,Martin wants Hammarbles.,"Мартину нужны мраморные диски, которые можно отобрать у Кувалд Джеков."
PROPQUEST_REQUESTBOX_INC_000199,Mark of Bill,Веселая метка
PROPQUEST_REQUESTBOX_INC_000200,Bill needs you to collect Gigglande so that he can make his mark. Will you help?,Bill needs you to collect Gigglande so that he can make his mark. Will you help?
PROPQUEST_REQUESTBOX_INC_000205,Bill wants Gigglande.,Bill wants Gigglande.
PROPQUEST_REQUESTBOX_INC_000210,Repair Work on Saint Hall,Облицовка ратуши
PROPQUEST_REQUESTBOX_INC_000211,Helena needs you to collect Crescent Stones to repair Saint Hall. Will you help?,"Ну-ка, посмотрим… 'Элена занимается облицовкой ратуши и хочет украсить фасад камнями полумесяца.' Достанешь их?"
PROPQUEST_REQUESTBOX_INC_000216,Helena wants $QUEST_END_ITEM_NAME$.,Helena wants $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000221,Helping injured animals,Помощь животным
PROPQUEST_REQUESTBOX_INC_000222,Madrigal Animal Association needs you to collect Bobands to help their injured animals. Will you help?,"Так-так… 'Мадригальской Ассоциации защитников животных нужны бинты.' Надеюсь, ты поможешь?"
PROPQUEST_REQUESTBOX_INC_000227,Madrigal Animal Association wants Bobands.,Мадригальской ассоциации защитников животных нужны коричневые повязки одноруких бандитов - из них выйдут отличные бинты.
PROPQUEST_REQUESTBOX_INC_000232,Strange Collector,Свин-мусорщик
PROPQUEST_REQUESTBOX_INC_000233,Strange Collector needs you to collect Dumblings for his collection. Will you help?,"Посмотрим, посмотрим... 'Свину-мусорщику нужны кольца в нос.' Видно, генетическая память шутки играет!.. Поможешь ему?"
PROPQUEST_REQUESTBOX_INC_000243,For the Wife,Подарок для жены
PROPQUEST_REQUESTBOX_INC_000244,Mayer needs Kalin to make a present for his wife. Will you help?,"Так-так, что тут у нас… 'Мэр хочет сделать супруге подарок - набор карманных зеркалец.' Поможешь?"
PROPQUEST_REQUESTBOX_INC_000249,Mayer wants Kalin.,"Мэру нужны зеркальца, которыми украшают себя истуканы."
PROPQUEST_REQUESTBOX_INC_000254,Weak Heart,Слабое сердце
PROPQUEST_REQUESTBOX_INC_000255,Helena needs clock hearts to make a new heart for her sick brother. Will you help?,"Ну-ка, ну-ка… Ага. 'У брата Элены слабое сердце, и она хочет сделать ему новое.' Поможешь?"
PROPQUEST_REQUESTBOX_INC_000265,Devil Marble,Надгробный мрамор
PROPQUEST_REQUESTBOX_INC_000266,Bill needs Tomb Marbles to make the Devil Marble. Will you help?,"Так-так… 'Биллу нужен мрамор.' Думаю, ему подойдут обломки надгробных плит. Раздобудешь их?"
PROPQUEST_REQUESTBOX_INC_000271,Bill wants Tomb Marbles.,Биллу нужен мрамор - обломки надгробных плит гробокопов.
PROPQUEST_REQUESTBOX_INC_000276,Dream of the Fighter,Мечта бойца
PROPQUEST_REQUESTBOX_INC_000277,Fighter needs you to collect Golden Fists to make a golden glove. Will you help?,"Хм-м… 'Бойцу нужны золотые кулаки, чтобы сделать Золотую Перчатку.' Подходит?"
PROPQUEST_REQUESTBOX_INC_000282,Fighter wants Golden Fists.,"Бойцу нужны золотые кулаки стрелорков, чтобы сделать Золотую Перчатку."
PROPQUEST_REQUESTBOX_INC_000287,Marbles for the Son,Шарики для сынишки
PROPQUEST_REQUESTBOX_INC_000288,Mayer needs orbin to make marbles for his son. Will you help?,Посмотрим… 'Мэру нужны мраморные шарики для сынишки.' Возьмешься?
PROPQUEST_REQUESTBOX_INC_000293,Mayer wants orbin.,Мэру нужны мраморные шарики паяцев для подарка сынишке.
PROPQUEST_REQUESTBOX_INC_000298,Strange Collector (2),Перед Свинами бисер мечут
PROPQUEST_REQUESTBOX_INC_000299,Strange Collector needs you to collect $QUEST_END_ITEM_NAME$ for his collection. Will you help?,Ага. 'Свину-мусорщику для коллекции нужен $QUEST_END_ITEM_NAME$.' Возьмешься?
PROPQUEST_REQUESTBOX_INC_000304,Strange Collector wants $QUEST_END_ITEM_NAME$.,Свину-мусорщику нужен $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000309,Lens of Olien,Линзы для Хельги
PROPQUEST_REQUESTBOX_INC_000310,Olien needs you to collect steam tears to make a new lens. Will you help?,"Хм-м… 'Мадам Хельге нужны капли пара, чтобы сделать новый монокль.' Поможешь?"
PROPQUEST_REQUESTBOX_INC_000315,Olien wants steam tears.,Мадам Хельге нужны капли пара пароботов.
PROPQUEST_REQUESTBOX_INC_000320,Red Muffler,Красный шарф
PROPQUEST_REQUESTBOX_INC_000321,Soldier needs you to collect knightlers to make a new scarf. Will you help?,"Хм-м… 'Сольде нужна красная ткань, чтобы сшить шарф.' Поможешь?"
PROPQUEST_REQUESTBOX_INC_000326,Soldier wants knightler.,Сольде нужны красные повязки стальных курицырей.
PROPQUEST_REQUESTBOX_INC_000331,Dwarpet Festival,Карлофест
PROPQUEST_REQUESTBOX_INC_000332,The Dwarpet needs you to collect wheeshoes for their festival. Will you help?,"Ага! 'Приближается ежегодный Карлофест, и карликам нужны железные башмаки для чечеточников.' Раздобудешь их?"
PROPQUEST_REQUESTBOX_INC_000337,The Dwarpet wants wheesoes.,Карликам нужны железные башмаки шестекрутов.
PROPQUEST_REQUESTBOX_INC_000342,Crane Repair,Починка крана
PROPQUEST_REQUESTBOX_INC_000343,The Erons Industrial Manager needs Droil to repair their crane. Will you help?,Ага! 'Управляющему Эрониевой фактории нужны железные опилки для починки крана.' Подходит?
PROPQUEST_REQUESTBOX_INC_000348,Erons want Droils.,Эрониевой фактории нужны железные опилки буров.
PROPQUEST_REQUESTBOX_INC_000353,Urgently looking for a Bandage,Urgently looking for a Bandage
PROPQUEST_REQUESTBOX_INC_000364,Portable Power,Чистая энергия
PROPQUEST_REQUESTBOX_INC_000375,Strange Collector (3),Свин-мусорщик и глаза стражей
PROPQUEST_REQUESTBOX_INC_000386,Replacement Tires,Новые шины
PROPQUEST_REQUESTBOX_INC_000387,The Dwarpet needs you to collect Dumptires to replace his flat tires. Will you help?,"Ну-ка, посмотрим… 'Карлик проколол шины, и ему нужны новые.' Возьмешься?"
PROPQUEST_REQUESTBOX_INC_000392,The Dwarpet wants Dumptire.,Карлику нужны шины трактотрона.
PROPQUEST_REQUESTBOX_INC_000397,Strange Collector (4),Свин-мусорщик и мусорные кристаллы
PROPQUEST_REQUESTBOX_INC_000398,Mysterious collector needs Garbageton for his collection. Will you help?,Так-так… 'Свину-мусорщику нужны мусорные кристаллы.' Берешься?
PROPQUEST_REQUESTBOX_INC_000408,Relics of a Husband,Медальон для вдовы
PROPQUEST_REQUESTBOX_INC_000409,A widow has asked that you collect Eronior so that she can re-make the ring of her husband. Will you help?,"Так-так… 'Вдове нужен эроний, чтобы переделать кольцо покойного мужа в медальон.' Поможешь?"
PROPQUEST_REQUESTBOX_INC_000414,A widow wants some Eronior.,Вдове нужен эроний. Пойду биться с краноходами.
PROPQUEST_REQUESTBOX_INC_000419,Disguise of Remina,Летные очки для Рамины
PROPQUEST_REQUESTBOX_INC_000420,Remina needs you to collect repygle to make a pair of disguising sunglasses. Will you help?,"Ага! 'Рамине нужны обычные летные очки, чтобы сделать из них солнечные.' Поможешь?"
PROPQUEST_REQUESTBOX_INC_000425,Remina wants $QUEST_END_ITEM_NAME$.,Remina wants $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000430,Beautiful Keil Wallpaper,Чешуйчатый дизайн
PROPQUEST_REQUESTBOX_INC_000431,Haven needs you to collect Sycale to re-model the Magic Shop. Will you help?,"Ну-ка, ну-ка… 'Амфоре нужна чешуя для нового дизайна Магозина.' Поможешь?"
PROPQUEST_REQUESTBOX_INC_000436,Heaven wants Sycale.,Амфоре нужна чешуя зубатки.
PROPQUEST_REQUESTBOX_INC_000441,Strange Collector (5),Свин-мусорщик и слезы илия
PROPQUEST_REQUESTBOX_INC_000442,Strange Collector needs $QUEST_END_ITEM_NAME$ for his collection. Will you help?,Так-так… 'Свину-мусорщику в коллекцию требуется $QUEST_END_ITEM_NAME$.' Подойдет?
PROPQUEST_REQUESTBOX_INC_000447,Strange collector want Mong Tear,Свину-мусорщику нужны слезы илия.
PROPQUEST_REQUESTBOX_INC_000452,Anesthetic Needs,Противоядие
PROPQUEST_REQUESTBOX_INC_000463,New Kind of Firework,Фейерверк
PROPQUEST_REQUESTBOX_INC_000464,The Fireworks Producer needs Bomb Timers to make a new kind of firework. Will you help?,А! 'Мастерам фейерверков нужны часовые механизмы для 'Хризантемы замедленного действия'.' Возьмешься?
PROPQUEST_REQUESTBOX_INC_000465,You get bombtimers from any type of Carrierbomb.,Часовой механизм можно добыть у бомботов.
PROPQUEST_REQUESTBOX_INC_000469,The Firework Producer wants Bomb Timers.,Мастерам фейерверков нужны часовые механизмы. Пойду охотиться на бомботов…
PROPQUEST_REQUESTBOX_INC_000474,Snack for the Children,Чипсы для детишек
PROPQUEST_REQUESTBOX_INC_000475,Bolpor needs Prewing to make some snacks for the children. Will you help?,Bolpor needs Prewing to make some snacks for the children. Will you help?
PROPQUEST_REQUESTBOX_INC_000480,Bolpor wants Prewing.,Bolpor wants Prewing.
PROPQUEST_REQUESTBOX_INC_000485,Mushroom Farm of Chitller,Грибная ферма Читлера
PROPQUEST_REQUESTBOX_INC_000486,Chitller needs you to collect Poiespore for his mushroom farm will you help?,"Ну-ка, посмотрим… 'Владельцу грибной фермы Читлеру нужны споры подгрызиновика.' Подходит?"
PROPQUEST_REQUESTBOX_INC_000491,Chitller wants Poiespore.,Читлеру нужны споры подгрызиновика.
PROPQUEST_REQUESTBOX_INC_000496,New Yo-Yo,Новая йо-йо
PROPQUEST_REQUESTBOX_INC_000497,An Acrobat master needs you to gather Renyken to make a new Yo-Yo. Will you help?,Так-так… 'Магистру акробатов нужен жужикен для новой йо-йо.' Берешься?
PROPQUEST_REQUESTBOX_INC_000502,An Acrobat master wants Renyken.,Магистру акробатов нужен жужикен. Пойду искать жужелиц…
PROPQUEST_REQUESTBOX_INC_000507,Disguise of a Native,Маски для аборигенов
PROPQUEST_REQUESTBOX_INC_000508,Darkon natives need you to collect Tangkask. Will you help?,Хм-м… О?.. 'Дарконским аборигенам нужны маски Ва-танка для темных ритуалов.' Берешься?
PROPQUEST_REQUESTBOX_INC_000513,Darkon natives want Tankask.,Аборигенам Даркона нужны маски Ва-танка.
PROPQUEST_REQUESTBOX_INC_000518,Woodworking Material,Кора для крыш
PROPQUEST_REQUESTBOX_INC_000529,The Best Shield,Наипрочнейший щит
PROPQUEST_REQUESTBOX_INC_000530,Remina needs Luchest to make the strongest shield in the world. Will you help?,"Ну-ка, ну-ка… 'Рамине нужны нагрудные щитки лавлинов для прочнейшего в мире щита.' Поможешь?"
PROPQUEST_REQUESTBOX_INC_000540,Beauty Contest Award,Конкурс красоты
PROPQUEST_REQUESTBOX_INC_000541,The Madrigal Beauty Contest needs Eronsimint for making an award. Will you help?,The Madrigal Beauty Contest needs Eronsimint for making an award. Will you help?
PROPQUEST_REQUESTBOX_INC_000546,The Madrigal Beauty Contest sponsor wants Eronsimint.,Жюри конкурса 'Мисс Мадригал' требуется армадинт. Пойду искать армадонов…
PROPQUEST_REQUESTBOX_INC_000551,Lucky Tool,Молот для Лаки
PROPQUEST_REQUESTBOX_INC_000552,Lucky needs Hammamer to make a lucky hammer. Will you help?,"Так-так… 'Лаки нужны хобомолоты, чтобы ковать самый прочный металл.' Возьмешься? "
PROPQUEST_REQUESTBOX_INC_000557,Lucky wants Hammamer.,Лаки нужны хобомолоты сталефантов.
PROPQUEST_REQUESTBOX_INC_000562,Strange Collector (6),Свин-мусорщик и стекло
PROPQUEST_REQUESTBOX_INC_000573,Request of Lurif,Просьба Луизы
PROPQUEST_REQUESTBOX_INC_000574,Could you do me a favor? I need Phanbubble. Can you help me please?,А эта просьба лично от меня. Мне нужна эктоплазма. Выручишь?
PROPQUEST_REQUESTBOX_INC_000579,Lurif needs many Phanbubbles.,Луизе нужна эктоплазма. Пойду искать экторов…
PROPQUEST_REQUESTBOX_INC_000815,Mysterious Magic Material,Mysterious Magic Material
PROPQUEST_REQUESTBOX_INC_000816,Magician Master requested you to collect Merahook which is a magic material. Will you accept this request?,Magician Master requested you to collect Merahook which is a magic material. Will you accept this request?
PROPQUEST_REQUESTBOX_INC_000817,You can collect them from the group of Chimeradon in the Deadwallderness.,You can collect them from the group of Chimeradon in the Deadwallderness.
PROPQUEST_REQUESTBOX_INC_000826,Avenge Nerky,Avenge Nerky
PROPQUEST_REQUESTBOX_INC_000827,Krinton's pet Bearnerky got killed by the other Bearnerky. Krinton requested you to collect NerkyMane for revenge. Will you accept this request?,Krinton's pet Bearnerky got killed by the other Bearnerky. Krinton requested you to collect NerkyMane for revenge. Will you accept this request?
PROPQUEST_REQUESTBOX_INC_000828,You can collect them from the group of Bearnerky in the Deadwallderness.,You can collect them from the group of Bearnerky in the Deadwallderness.
PROPQUEST_REQUESTBOX_INC_000837,Bolpor's favor,Bolpor's favor
PROPQUEST_REQUESTBOX_INC_000838,Bolpor requested you to collect Rincruet for making some special food. Will you accept this request?,Bolpor requested you to collect Rincruet for making some special food. Will you accept this request?
PROPQUEST_REQUESTBOX_INC_000839,You can collect them from the group of Muffrin in the Deadwallderness.,You can collect them from the group of Muffrin in the Deadwallderness.
PROPQUEST_REQUESTBOX_INC_000848,Toy Materials,Toy Materials
PROPQUEST_REQUESTBOX_INC_000849,A toy merchant requested you to collect Popshift for making fancy toys. Will you accept this request?,A toy merchant requested you to collect Popshift for making fancy toys. Will you accept this request?
PROPQUEST_REQUESTBOX_INC_000850,You can collect them from the group of Popcrank in the Deadwallderness.,You can collect them from the group of Popcrank in the Deadwallderness.
PROPQUEST_REQUESTBOX_INC_000859,Evil Eyed Red Dragon,Evil Eyed Red Dragon
PROPQUEST_REQUESTBOX_INC_000860,Can you please go find Dragon Tooth of the Meteonyker Dragon for me? The Arena Manager Lay requested 5 of them.,Can you please go find Dragon Tooth of the Meteonyker Dragon for me? The Arena Manager Lay requested 5 of them.
PROPQUEST_REQUESTBOX_INC_000861,"You can collect them from Meteonyker. I heard it's in Dekane Dungeon. Be careful, the Meteonyker is very strong! It's  best if you go with a party!","You can collect them from Meteonyker. I heard it's in Dekane Dungeon. Be careful, the Meteonyker is very strong! It's  best if you go with a party!"
PROPQUEST_REQUESTBOX_INC_010000,Moth Infestation,Moth Infestation
PROPQUEST_REQUESTBOX_INC_010001,Tina asked for help with reducing the Mothbee population as they're causing problems with transport. Could you kill 15 of them?,"Тина просит помочь с уменьшением численности Мухаонов, из-за которых становится сложно выполнять полёты. Можешь убить 15 штук?"
PROPQUEST_REQUESTBOX_INC_010002,You can find Mothbee flying inbetween Northern Saint City & Flaris.,You can find Mothbee flying inbetween Northern Saint City & Flaris.
PROPQUEST_REQUESTBOX_INC_010003,You don't want to help? That's okay. We'll find somebody else.,You don't want to help? That's okay. We'll find somebody else.
PROPQUEST_REQUESTBOX_INC_010004,You haven't finished the task yet.,You haven't finished the task yet.
PROPQUEST_REQUESTBOX_INC_010005,Mutated Aibatts,Mutated Aibatts
PROPQUEST_REQUESTBOX_INC_010006,Tina has reported a new kind of Masquerpet called Zendros. Please could you kill 15 of them?,Tina has reported a new kind of Masquerpet called Zendros. Please could you kill 15 of them?
PROPQUEST_REQUESTBOX_INC_010007,You can find Zendros flying between Flaris and Saint morning continents.,You can find Zendros flying between Flaris and Saint morning continents.
PROPQUEST_REQUESTBOX_INC_010008,Dragonflies,Dragonflies
PROPQUEST_REQUESTBOX_INC_010009,Tina asked for help with reducing the Neparuba population as they're causing problems with transport. Could you kill 15 of them?,"Тина просит помочь с уменьшением численности Комарищ, из-за которых становится сложно выполнять полёты. Можешь убить 15 штук?"
PROPQUEST_REQUESTBOX_INC_010010,You can find Neparuba flying between Flaris and Saint morning continents.,You can find Neparuba flying between Flaris and Saint morning continents.
PROPQUEST_REQUESTBOX_INC_010011,Flybrigen Brigade,Flybrigen Brigade
PROPQUEST_REQUESTBOX_INC_010012,Tina asked for help with reducing the Flybrigen population as they're causing problems with transport. Could you kill 15 of them?,"Тина просит помочь с уменьшением численности Хвостоколов, из-за которых становится сложно выполнять полёты. Можешь убить 15 штук?"
PROPQUEST_REQUESTBOX_INC_010013,You can find Flybrigen flying between Saint Morning and Garden of Rhisis continents.,You can find Flybrigen flying between Saint Morning and Garden of Rhisis continents.
PROPQUEST_REQUESTBOX_INC_010014,Moth Infestation (2),Moth Infestation (2)
PROPQUEST_REQUESTBOX_INC_010015,Tina is asking for further help regarding the Mothbee infestation. Could you get rid of the Lord Mothbee?,Tina is asking for further help regarding the Mothbee infestation. Could you get rid of the Lord Mothbee?
PROPQUEST_REQUESTBOX_INC_010016,You can find the Lord Mothbee flying inbetween Northern Saint City & Flaris.,You can find the Lord Mothbee flying inbetween Northern Saint City & Flaris.
PROPQUEST_REQUESTBOX_INC_010017,Mutated Aibatts (2),Mutated Aibatts (2)
PROPQUEST_REQUESTBOX_INC_010018,Tina is asking for further help regarding the Zendros threat. Could you get rid of the Lord Zendros?,Tina is asking for further help regarding the Zendros threat. Could you get rid of the Lord Zendros?
PROPQUEST_REQUESTBOX_INC_010019,You can find the Lord Zendros flying between Flaris and Saint morning continents.,You can find the Lord Zendros flying between Flaris and Saint morning continents.
